	count
((1, ('M3', 'P5', 'm7')), (-4, ('a2', 'a4', 'M6')))	83
((-1, ('M3', 'M6')), (6, ('m3', 'd5', 'm6')))	83
((2, ('P4', 'M6')), (4, ('m3', 'm6')))	83
((4, ('m3', 'd5', 'M6')), (-1, ('M3', 'M6')))	82
((1, ('m3', 'P5')), (-1, ('m3', 'P5')))	82
((4, ('m3', 'P5')), (-1, ('M3', 'P5')))	82
((-1, ('M3', 'P5')), (0, ('m3', 'P5')))	81
((0, ('M3', 'P5')), (2, ('M3', 'P5')))	81
((-1, ('m3', 'a4', 'M6')), (0, ('M3', 'P5')))	81
((2, ('m3', 'P4', 'M6')), (1, ('M3', 'P5')))	81
((-2, ('M3', 'M6')), (1, ('m3', 'P5')))	81
((1, ('M3', 'P5', 'm7')), (0, ('M3', 'P5', 'm7')))	81
((1, ('M3', 'P5')), (3, ('m3', 'P4', 'M6')))	80
((-1, ('m3', 'a4', 'M6')), (4, ('m3', 'm6')))	80
((0, ('M3', 'P5')), (1, ('P4', 'P5', 'm7')))	80
((6, ('m3', 'd5', 'm7')), (1, ('M3', 'P5')))	80
((-4, ('M3', 'M6')), (-1, ('m3', 'M6')))	80
((0, ('M3', 'P5', 'm7')), (0, ('P4', 'M6')))	79
((-1, ('M3', 'P5')), (3, ('m3', 'P5')))	79
((-3, ('M3', 'P5')), (2, ('m3', 'm6')))	79
((0, ('P4', 'm6')), (0, ('M3', 'P5')))	79
((0, ('M3', 'P5', 'm7')), (3, ('m3', 'm6')))	78
((-4, ('M3', 'M6')), (-2, ('M3', 'P5')))	78
((0, ('m3', 'm6')), (-2, ('M3', 'M6')))	78
((-2, ('M3', 'P5')), (-2, ('M3', 'P5', 'm7')))	78
((2, ('P4', 'M6')), (2, ('M3', 'P5', 'm7')))	78
((1, ('m3', 'm6')), (-3, ('M3', 'P5')))	78
((-1, ('m3', 'P5', 'M6')), (1, ('P4', 'P5')))	78
((0, ('m3', 'm6')), (5, ('m3', 'm6')))	77
((-1, ('M2', 'a4', 'M6')), (0, ('m3', 'P5')))	77
((2, ('m3', 'd5')), (-3, ('M3', 'M6')))	77
((3, ('P4', 'P5')), (3, ('M3', 'P5')))	77
((0, ('m3', 'P5')), (6, ('m3', 'd5', 'd7')))	77
((3, ('m3', 'P5', 'm7')), (5, ('m3', 'm6')))	77
((0, ('M3', 'P5')), (0, ('P4', 'P5')))	77
((1, ('P4', 'M6')), (1, ('P4', 'M6')))	77
((1, ('M3', 'P5')), (2, ('M3', 'P5')))	77
((4, ('m3', 'P5')), (4, ('m3', 'm6')))	76
((1, ('P4', 'M6')), (1, ('P4', 'P5', 'm7')))	76
((3, ('m3', 'P5')), (2, ('M3', 'P5', 'm7')))	76
((2, ('m3', 'P5', 'm7')), (4, ('m3', 'm6')))	76
((2, ('m3', 'M6')), (1, ('M3', 'P5')))	76
((2, ('m3', 'd5', 'm7')), (1, ('M3', 'P5', 'm7')))	76
((1, ('P4', 'm6')), (-1, ('m3', 'P5')))	75
((3, ('m3', 'P5')), (4, ('M3', 'P5')))	75
((-3, ('M3', 'M6')), (2, ('M3', 'P5', 'm7')))	75
((7, ('m3', 'd5', 'd7')), (2, ('m3', 'P5')))	74
((1, ('M3', 'P5')), (6, ('m3', 'd5', 'd7')))	74
((3, ('m3', 'P5')), (5, ('m3', 'm6')))	74
((1, ('P4', 'P5')), (1, ('m3', 'P5')))	74
((-4, ('M3', 'a4', 'M6')), (1, ('P4', 'm6')))	74
((-1, ('M2', 'a4', 'M6')), (1, ('M3', 'P5', 'm7')))	73
((2, ('m3', 'P5')), (-1, ('M3', 'P5')))	73
((2, ('m3', 'd5', 'm7')), (1, ('M3', 'P5')))	73
((0, ('M2', 'P4', 'M6')), (5, ('m3', 'd5', 'm6')))	73
((1, ('M3', 'P5', 'm7')), (3, ('m3', 'm6')))	73
((8, ('m3', 'd5')), (3, ('m3', 'P5')))	73
((-3, ('M3', 'M6')), (-4, ('M3', 'P5')))	73
((0, ('M2', 'P5')), (5, ('m3', 'm6')))	73
((0, ('M3', 'P5')), (2, ('M3', 'P5', 'm7')))	72
((5, ('m3', 'd5', 'd7')), (5, ('m3', 'd5', 'm6')))	72
((-3, ('M3', 'M6')), (-1, ('M2', 'a4', 'M6')))	72
((-1, ('m3', 'P5')), (-2, ('M3', 'P5', 'm7')))	72
((-1, ('m3', 'a4', 'M6')), (0, ('m3', 'P5')))	72
((-3, ('M3', 'P5')), (-1, ('M3', 'P5')))	72
((1, ('M3', 'P5', 'm7')), (0, ('P4', 'M6')))	71
((1, ('M3', 'm6')), (1, ('M3', 'P5')))	71
((1, ('M3', 'P5')), (-4, ('M3', 'M7')))	71
((-4, ('M3', 'M6')), (1, ('P4', 'M6')))	71
((1, ('M3', 'P5', 'm7')), (-4, ('M3', 'M6')))	71
((3, ('M3', 'P5', 'm7')), (3, ('P4', 'm6')))	71
((-3, ('M3', 'M6')), (-1, ('m3', 'a4', 'M6')))	71
((-3, ('M3', 'M6')), (2, ('m3', 'm6')))	71
((-1, ('m3', 'P5')), (-3, ('M3', 'P5')))	71
((0, ('M3', 'M6')), (2, ('m3', 'P5')))	71
((2, ('m3', 'P4', 'm7')), (2, ('m3', 'P4', 'M6')))	71
((5, ('m3', 'd5', 'm6')), (-1, ('M2', 'a4', 'M6')))	71
((5, ('m3', 'm6')), (3, ('m3', 'M6')))	71
((3, ('m3', 'm7')), (3, ('m3', 'M6')))	70
((-1, ('M2', 'a4', 'M6')), (5, ('m3', 'd5', 'm6')))	70
((-1, ('M3', 'M6')), (4, ('m3', 'm7')))	70
((4, ('m3', 'm6')), (2, ('m3', 'm7')))	70
((-4, ('M3', 'P5')), (0, ('m3', 'P5')))	70
((-3, ('P4', 'P5')), (-3, ('M3', 'P5')))	70
((4, ('m3', 'P5')), (3, ('m3', 'P5')))	70
((1, ('M3', 'P5')), (6, ('m3', 'd5')))	70
((4, ('m3', 'M6')), (2, ('m3', 'P5')))	70
((0, ('M3', 'P5', 'm7')), (0, ('P4', 'm6')))	69
((3, ('m3', 'P5')), (3, ('m3', 'M6')))	69
((3, ('m3', 'P5')), (0, ('M3', 'P5')))	69
((4, ('m3', 'm6')), (-1, ('M3', 'P5', 'M7')))	69
((1, ('m3', 'P5')), (-4, ('M3', 'P5')))	69
((-3, ('M3', 'M6')), (2, ('m3', 'd5', 'M6')))	68
((0, ('a2', 'P5')), (0, ('M3', 'P5')))	68
((2, ('M3', 'P5', 'm7')), (1, ('m3', 'P5')))	68
((1, ('M3', 'P5')), (-1, ('a4', 'M6')))	68
((0, ('m3', 'P5')), (-1, ('M2', 'a4', 'M6')))	68
((5, ('m3', 'd5')), (0, ('P4', 'P5')))	68
((0, ('M3', 'P5')), (-4, ('M3', 'M6')))	68
((3, ('m3', 'P5', 'm7')), (1, ('M3', 'P5')))	67
((2, ('m3', 'P4', 'M6')), (0, ('P4', 'P5')))	67
((1, ('m3', 'M6')), (-4, ('M3', 'M6')))	67
((-1, ('M3', 'P5')), (1, ('m3', 'P5')))	67
((2, ('m3', 'P5')), (-2, ('M3', 'P5')))	66
((5, ('m3', 'm7')), (5, ('m3', 'm6')))	66
((1, ('M3', 'P5')), (6, ('m3', 'd5', 'm6')))	66
((1, ('m3', 'P5')), (1, ('m3', 'm6')))	66
((1, ('M3', 'P5', 'm7')), (8, ('m3', 'd5', 'd7')))	66
((5, ('m3', 'm6')), (-2, ('M3', 'M6')))	66
((-1, ('M3', 'P5')), (0, ('M3', 'P5', 'm7')))	65
((0, ('m3', 'P5')), (2, ('m3', 'm6')))	65
((-4, ('M3', 'P5')), (-4, ('M3', 'P5', 'a6')))	65
((1, ('M3', 'P5')), (0, ('M3', 'P5', 'm7')))	65
((-1, ('M3', 'P5')), (5, ('m3', 'd5')))	65
((-1, ('M2', 'a4', 'M6')), (1, ('M3', 'P5')))	64
((0, ('M3', 'P5')), (5, ('m2', 'P4', 'm6')))	64
((-4, ('M3', 'a4', 'M6')), (-1, ('m3', 'P5', 'M6')))	64
((4, ('m3', 'm6')), (-3, ('M3', 'M6')))	64
((-4, ('M3', 'P5')), (-2, ('M3', 'P5')))	64
((0, ('M3', 'P5')), (0, ('M2', 'P4', 'M6')))	64
((-1, ('m3', 'P5', 'M6')), (1, ('M3', 'P5', 'm7')))	64
((1, ('M3', 'P5', 'm7')), (1, ('M3', 'M6', 'm7')))	64
((1, ('m3', 'P5')), (-3, ('M3', 'M6')))	64
((-4, ('M3', 'M6')), (1, ('m3', 'M6')))	64
((-1, ('M3', 'P5', 'm7')), (-2, ('M3', 'P5')))	64
((0, ('m3', 'P5')), (2, ('m3', 'd5', 'm7')))	64
((5, ('m3', 'm6')), (0, ('M3', 'M6')))	63
((-1, ('M3', 'M6')), (6, ('m3', 'd5')))	63
((0, ('M3', 'P5')), (-1, ('a4', 'M6')))	63
((5, ('M3', 'P5', 'm7')), (4, ('m3', 'P5')))	63
((1, ('m3', 'M6')), (-1, ('M3', 'P5')))	63
((-2, ('M3', 'P5')), (3, ('m3', 'm6')))	63
((-3, ('M3', 'M6')), (-4, ('M3', 'M6')))	63
((-2, ('M3', 'P5')), (1, ('m3', 'm6')))	63
((0, ('M3', 'P5')), (3, ('m3', 'P4', 'M6')))	62
((1, ('M3', 'M6')), (3, ('m3', 'P5')))	62
((4, ('m3', 'M6')), (-1, ('M3', 'M6')))	62
((0, ('m3', 'P5', 'm7')), (0, ('m3', 'P5', 'm7')))	62
((2, ('M3', 'P5')), (5, ('m3', 'm6')))	62
((4, ('m3', 'm6')), (4, ('M3', 'm6')))	61
((4, ('m3', 'm6')), (0, ('M3', 'P5', 'm7')))	61
((-3, ('M3', 'M6')), (5, ('m3', 'd5')))	61
((0, ('M3', 'P5')), (0, ('M2', 'a4', 'M6')))	61
((5, ('m3', 'm6')), (0, ('P4', 'P5')))	61
((0, ('m3', 'P5')), (1, ('m3', 'm6')))	61
((0, ('M2', 'a4', 'M6')), (1, ('M3', 'P5')))	61
((0, ('M3', 'P5')), (1, ('M3', 'M6')))	61
((1, ('m3', 'P5')), (-2, ('M3', 'M6')))	61
((2, ('m3', 'M6')), (1, ('M3', 'P5', 'm7')))	61
((0, ('M3', 'P5')), (-1, ('M3', 'M7')))	61
((1, ('m3', 'P5')), (2, ('m3', 'P5')))	60
((0, ('m3', 'P5')), (-2, ('M2', 'a4', 'M6')))	60
((6, ('m3', 'm6')), (1, ('m3', 'P5')))	60
((-1, ('m3', 'P5')), (1, ('P4', 'P5')))	60
((2, ('m3', 'P5')), (0, ('M2', 'P4', 'M6')))	60
((1, ('P4', 'M6')), (-1, ('a4', 'M6')))	60
((-1, ('M3', 'P5')), (-1, ('M3', 'P5', 'M6')))	60
((0, ('M3', 'P5')), (0, ('M3', 'P5', 'M6')))	59
((1, ('P4', 'M6')), (-1, ('M3', 'P5', 'M6')))	59
((3, ('m3', 'M6')), (5, ('m3', 'm6')))	59
((2, ('m3', 'M6')), (5, ('m3', 'd5')))	59
((0, ('a4', 'M6')), (5, ('m3', 'm6')))	59
((3, ('m3', 'P5')), (6, ('m3', 'd5', 'm6')))	59
((-1, ('M2', 'a4', 'M6')), (2, ('P4', 'M6')))	59
((3, ('m3', 'P5', 'm7')), (2, ('M3', 'P5', 'm7')))	59
((1, ('P4', 'm6')), (-4, ('M3', 'P5')))	59
((-1, ('m3', 'm6')), (1, ('P4', 'm6')))	59
((2, ('m3', 'd5')), (5, ('m3', 'd5', 'm6')))	59
((6, ('m3', 'd5', 'd7')), (1, ('P4', 'P5')))	59
((-4, ('a2', 'a4', 'M6')), (1, ('M3', 'P5')))	58
((-4, ('M3', 'P5')), (0, ('m3', 'm6')))	58
((0, ('m3', 'P5')), (-1, ('m3', 'm6')))	58
((2, ('m3', 'P4', 'M6')), (2, ('m3', 'P4', 'M6')))	58
((6, ('m3', 'd5', 'm6')), (1, ('P4', 'P5')))	58
((-1, ('a4', 'M6')), (0, ('m3', 'P5')))	58
((-2, ('m3', 'a4', 'M6')), (-4, ('M3', 'M6')))	58
((0, ('P4', 'm6')), (5, ('m3', 'd5', 'm6')))	58
((1, ('M3', 'M6')), (1, ('M3', 'P5')))	58
((2, ('M3', 'P5', 'm7')), (2, ('P4', 'm6')))	57
((-2, ('M3', 'M6')), (-4, ('M3', 'P5')))	57
((1, ('P4', 'M6')), (-4, ('M3', 'M6')))	57
((1, ('P4', 'm6')), (-4, ('M3', 'a4', 'M6')))	57
((0, ('M3', 'P5')), (1, ('M3', 'M6', 'm7')))	57
((3, ('m3', 'P5')), (1, ('M3', 'M6')))	57
((0, ('m3', 'P5')), (-1, ('m3', 'a4', 'M6')))	57
((-3, ('M3', 'M6')), (-1, ('m3', 'm6')))	57
((0, ('M3', 'P5')), (-2, ('M3', 'P5')))	57
((1, ('M3', 'P5')), (3, ('m3', 'm7')))	57
((1, ('m3', 'P5')), (1, ('M3', 'P5')))	57
((5, ('m3', 'P4', 'M6')), (3, ('m3', 'P5')))	57
((-2, ('M3', 'P5')), (0, ('M3', 'P5')))	57
((0, ('m3', 'P5')), (2, ('M3', 'P5')))	56
((1, ('M3', 'P5')), (5, ('m3', 'd5', 'd7')))	56
((4, ('m3', 'd5', 'm6')), (0, ('M3', 'P5', 'm7')))	56
((-2, ('M3', 'M6')), (0, ('m3', 'P5')))	56
((2, ('M3', 'P5')), (2, ('M3', 'P5', 'm7')))	56
((1, ('M3', 'M6', 'm7')), (0, ('M3', 'P5')))	56
((-1, ('M3', 'M6')), (-1, ('M3', 'M6')))	56
((2, ('M3', 'P5', 'm7')), (1, ('P4', 'P5')))	56
((0, ('a2', 'a4', 'M6')), (0, ('M3', 'P5')))	56
((-1, ('M3', 'P5')), (-1, ('m3', 'P5')))	56
((2, ('m3', 'd5')), (-3, ('M3', 'P5')))	55
((1, ('M3', 'P5')), (-4, ('a2', 'a4', 'M6')))	55
((3, ('P4', 'P5')), (3, ('m3', 'P5')))	55
((1, ('M3', 'P5')), (-1, ('M3', 'M6')))	55
((5, ('m3', 'm6')), (-1, ('M2', 'a4', 'M6')))	55
((-3, ('M3', 'P5')), (1, ('m3', 'P5')))	55
((1, ('M3', 'P5')), (0, ('m3', 'a4', 'M6')))	55
((1, ('M3', 'M6')), (3, ('m3', 'm6')))	55
((3, ('m3', 'm6')), (5, ('m3', 'd5', 'm7')))	54
((6, ('m3', 'd5', 'd7')), (1, ('M3', 'P5', 'm7')))	54
((-1, ('m3', 'M6')), (-3, ('M3', 'P5')))	54
((1, ('P4', 'M6')), (-1, ('M3', 'M6')))	54
((1, ('M3', 'P5')), (0, ('m3', 'm6')))	54
((-1, ('M3', 'M6')), (1, ('M3', 'M6')))	54
((-1, ('M3', 'P5', 'M6')), (2, ('m3', 'P5', 'm7')))	54
((2, ('m3', 'd5')), (1, ('M3', 'P5')))	53
((-1, ('M3', 'P5')), (-1, ('M3', 'P5', 'm7')))	53
((1, ('M3', 'P5')), (0, ('M3', 'M6')))	53
((6, ('m3', 'd5', 'm6')), (1, ('M3', 'P5', 'm7')))	53
((4, ('m3', 'P4', 'M6')), (2, ('m3', 'P5')))	53
((0, ('M3', 'M6')), (3, ('m3', 'P5')))	53
((0, ('m3', 'P5')), (0, ('m3', 'a4', 'M6')))	53
((1, ('M3', 'M6')), (-1, ('M3', 'P5')))	53
((-1, ('m3', 'P5')), (-1, ('m3', 'a4', 'M6')))	53
((0, ('M3', 'M6')), (1, ('M3', 'P5')))	53
((3, ('m3', 'm6')), (3, ('m3', 'P5')))	53
((1, ('M3', 'P5', 'm7')), (1, ('M3', 'M6')))	53
((0, ('M3', 'P5')), (6, ('m3', 'd5', 'd7')))	53
((3, ('m3', 'P5', 'm7')), (5, ('m3', 'd5')))	53
((0, ('m3', 'm6')), (2, ('m3', 'd5')))	53
((2, ('M3', 'P5', 'm7')), (2, ('M3', 'P5', 'm7')))	53
((0, ('M3', 'P5')), (5, ('P4', 'm6')))	52
((-2, ('M3', 'm7')), (-2, ('M3', 'M6')))	52
((1, ('m3', 'P4', 'M6')), (-1, ('m3', 'P5')))	52
((-2, ('M3', 'P5')), (2, ('m3', 'm6')))	52
((3, ('m3', 'P5')), (2, ('m3', 'P5', 'm7')))	52
((2, ('m3', 'd5')), (5, ('m3', 'd5')))	52
((-4, ('M3', 'M6')), (0, ('M3', 'P5')))	52
((-1, ('M3', 'P5')), (0, ('P4', 'M6')))	52
((0, ('m3', 'P5')), (0, ('m3', 'M6')))	52
((1, ('P4', 'm6')), (-1, ('m3', 'P5', 'M6')))	52
((0, ('m3', 'P5')), (1, ('M3', 'm6')))	52
((0, ('P4', 'M6')), (5, ('m3', 'd5', 'm6')))	51
((-2, ('M3', 'P5')), (-2, ('M3', 'P5')))	51
((1, ('m3', 'm6')), (-2, ('M3', 'P5')))	51
((1, ('M3', 'P5')), (1, ('M3', 'm6')))	51
((1, ('P4', 'm6')), (-1, ('m3', 'M6')))	51
((-1, ('M3', 'P5', 'M7')), (1, ('M3', 'P5')))	51
((5, ('m3', 'm6')), (5, ('m3', 'd5')))	51
((0, ('M3', 'P5')), (4, ('m3', 'P5')))	51
((0, ('m3', 'P5')), (-1, ('M3', 'P5', 'm7')))	51
((-1, ('m3', 'P5', 'M6')), (-3, ('M3', 'M6')))	51
((1, ('M3', 'P5', 'm7')), (0, ('M3', 'P5', 'M7')))	51
((2, ('m3', 'M6')), (5, ('m3', 'd5', 'm6')))	51
((2, ('P4', 'M6')), (-1, ('M2', 'a4', 'M6')))	50
((5, ('m3', 'm6')), (-3, ('M3', 'M6')))	50
((0, ('m3', 'M6')), (-2, ('M3', 'P5')))	50
((-4, ('M3', 'P5')), (1, ('m3', 'P5')))	50
((5, ('m3', 'm6')), (3, ('m3', 'P4', 'M6')))	50
((-4, ('M3', 'a4', 'a6')), (1, ('M3', 'P5')))	50
((-3, ('M3', 'a5')), (-3, ('M3', 'M6')))	50
((1, ('M3', 'P5')), (6, ('m3', 'm6')))	50
((0, ('M3', 'P5')), (2, ('m3', 'm7')))	50
((1, ('m3', 'm6')), (-1, ('m3', 'P5')))	49
((5, ('m3', 'd5', 'm6')), (4, ('m3', 'm6')))	49
((4, ('m3', 'm6')), (0, ('M3', 'M6')))	49
((1, ('M3', 'P5', 'm7')), (5, ('m3', 'm6')))	49
((2, ('P4', 'P5', 'm7')), (2, ('M3', 'P5', 'm7')))	49
((1, ('M3', 'P5')), (2, ('m3', 'M6')))	49
((2, ('m3', 'm6')), (0, ('m3', 'm6')))	49
((2, ('m3', 'd5')), (1, ('M3', 'P5', 'm7')))	49
((-1, ('M3', 'P5')), (-1, ('a4', 'M6')))	48
((3, ('m3', 'd5', 'm6')), (-2, ('M3', 'P5')))	48
((0, ('P4', 'm6')), (0, ('P4', 'P5')))	48
((0, ('M3', 'P5')), (6, ('m3', 'd5', 'm6')))	48
((0, ('M3', 'P5')), (0, ('M3', 'a4', 'M6')))	48
((0, ('M3', 'P5')), (2, ('m3', 'P4', 'm7')))	48
((3, ('m3', 'P5')), (5, ('m3', 'd5')))	48
((2, ('M3', 'P5', 'm7')), (2, ('P4', 'M6')))	48
((5, ('m3', 'm6')), (-2, ('M2', 'a4', 'M6')))	48
((0, ('m3', 'P5')), (0, ('m3', 'P5', 'm7')))	48
((1, ('M3', 'P5')), (-3, ('M3', 'P5')))	48
((-1, ('m3', 'm6')), (-3, ('M3', 'M6')))	48
((2, ('m3', 'P5', 'm7')), (0, ('M3', 'P5')))	48
((6, ('m3', 'd5', 'm6')), (-1, ('M2', 'a4', 'M6')))	47
((0, ('m3', 'P5')), (-1, ('a4', 'M6')))	47
((1, ('P4', 'M6')), (6, ('m3', 'd5', 'd7')))	47
((-1, ('m3', 'P5')), (2, ('m3', 'd5', 'm6')))	47
((1, ('P4', 'm6')), (1, ('P4', 'm6')))	47
((1, ('M3', 'P5', 'm7')), (2, ('m3', 'M6')))	47
((0, ('m3', 'P5')), (2, ('M3', 'P5', 'm7')))	47
((-4, ('M3', 'M6')), (1, ('P4', 'P5')))	47
((0, ('M3', 'P5')), (5, ('m3', 'd5', 'm7')))	47
((-3, ('M3', 'P5')), (0, ('m3', 'm6')))	47
((-1, ('m3', 'P5')), (-1, ('M2', 'a4', 'M6')))	47
((5, ('m3', 'd5', 'm6')), (5, ('m3', 'd5', 'm6')))	46
((2, ('M2', 'P4')), (0, ('M3', 'P5')))	46
((-1, ('M3', 'a5')), (-1, ('M3', 'M6')))	46
((-3, ('a2', 'a4', 'M6')), (1, ('M3', 'P5')))	46
((-1, ('m3', 'P5', 'm7')), (-1, ('m3', 'P5', 'M6')))	46
((-4, ('M3', 'P5')), (-1, ('m3', 'P5', 'm7')))	46
((1, ('m3', 'P5')), (-2, ('M3', 'P5')))	46
((-1, ('M3', 'P5', 'M6')), (6, ('m3', 'd5', 'm6')))	46
((1, ('M3', 'M6')), (0, ('M3', 'P5')))	46
((-1, ('m3', 'P5')), (2, ('m3', 'M6')))	46
((-4, ('M3', 'P5')), (-4, ('M3', 'P5')))	46
((2, ('m3', 'P5')), (1, ('m3', 'P5')))	46
((0, ('M2', 'P4', 'm6')), (5, ('m3', 'd5', 'm6')))	46
((2, ('m3', 'm6')), (-2, ('M3', 'P5')))	45
((0, ('M3', 'M6')), (2, ('m3', 'M6')))	45
((-1, ('M3', 'M6')), (1, ('P4', 'P5')))	45
((0, ('M3', 'P5')), (0, ('M3', 'a5')))	45
((-1, ('M3', 'M6')), (6, ('m3', 'm6')))	45
((-4, ('M3', 'M6')), (-4, ('M3', 'P5')))	45
((0, ('m3', 'P5')), (2, ('m3', 'P5')))	45
((3, ('m3', 'd5')), (-2, ('M3', 'P5')))	45
((3, ('m3', 'm6')), (3, ('m3', 'm6')))	45
((-2, ('M3', 'P5')), (-1, ('m3', 'P5')))	45
((-3, ('M3', 'M6')), (4, ('m3', 'm6')))	45
((0, ('m3', 'P5')), (2, ('m3', 'd5', 'M6')))	45
((-1, ('m3', 'P5')), (0, ('P4', 'P5')))	45
((1, ('M3', 'P5', 'm7')), (2, ('m3', 'P5')))	45
((-1, ('M3', 'P5')), (4, ('m3', 'd5', 'm6')))	45
((1, ('M3', 'P5', 'm7')), (5, ('m3', 'd5')))	45
((-1, ('M2', 'a4', 'M6')), (-1, ('M2', 'a4', 'M6')))	45
((-1, ('M3', 'P5')), (6, ('m3', 'm6')))	44
((-1, ('M3', 'M6')), (4, ('m3', 'M6')))	44
((5, ('m3', 'd5', 'd7')), (1, ('M3', 'P5', 'm7')))	44
((3, ('P4', 'm6')), (3, ('M3', 'P5', 'm7')))	44
((0, ('M3', 'M6')), (5, ('m3', 'm7')))	44
((0, ('M3', 'P5')), (6, ('m3', 'd5')))	44
((-4, ('M3', 'P5', 'a6')), (1, ('P4', 'M6')))	44
((1, ('P4', 'M6')), (-1, ('m3', 'P5')))	44
((4, ('m3', 'm6')), (5, ('m3', 'd5')))	44
((-3, ('M3', 'M6')), (2, ('M3', 'P5')))	44
((-1, ('m3', 'P5')), (-1, ('m3', 'm6')))	44
((0, ('M3', 'P5')), (-1, ('m3', 'a4', 'M6')))	44
((4, ('P4', 'P5')), (4, ('m3', 'P5')))	44
((-1, ('m3', 'P5')), (5, ('m3', 'd5', 'm6')))	44
((1, ('P4', 'M6')), (6, ('m3', 'd5', 'm6')))	44
((-4, ('M2', 'a4', 'M6')), (1, ('m3', 'm6')))	44
((2, ('P4', 'M6')), (5, ('m3', 'm6')))	44
((5, ('m3', 'd5', 'd7')), (-3, ('M3', 'M6')))	44
((0, ('m3', 'P5')), (-4, ('a2', 'a4', 'M6')))	43
((-1, ('m3', 'P5')), (1, ('m3', 'm6')))	43
((-1, ('M3', 'P5')), (6, ('m3', 'd5', 'd7')))	43
((5, ('m3', 'm6')), (0, ('m3', 'm6')))	43
((0, ('m3', 'P5')), (-4, ('M3', 'a4', 'M6')))	43
((4, ('m3', 'm6')), (-1, ('M3', 'M7')))	43
((5, ('m3', 'd5', 'm6')), (-3, ('M3', 'M6')))	43
((-1, ('M3', 'P5')), (5, ('m3', 'd5', 'm6')))	43
((4, ('M3', 'P5', 'm7')), (-1, ('M3', 'P5')))	43
((5, ('m3', 'm6')), (3, ('m3', 'm7')))	43
((5, ('m3', 'd5')), (4, ('m3', 'm6')))	43
((3, ('m3', 'M6')), (1, ('m3', 'P5')))	43
((1, ('M3', 'm6')), (1, ('M3', 'P5', 'm7')))	43
((0, ('M3', 'P5', 'm7')), (-4, ('M3', 'M6')))	43
((4, ('m3', 'm6')), (2, ('M3', 'P5', 'm7')))	43
((2, ('m3', 'P5')), (0, ('M3', 'M6')))	43
((-2, ('a4', 'M6')), (3, ('m3', 'm6')))	42
((1, ('M3', 'P5', 'm7')), (-4, ('M3', 'a4', 'M6')))	42
((-1, ('m3', 'P5', 'm7')), (-2, ('M3', 'P5')))	42
((-4, ('a2', 'a4', 'M6')), (0, ('m3', 'P5')))	42
((-1, ('m3', 'P5')), (-1, ('m3', 'P5', 'M6')))	42
((-1, ('m3', 'P5')), (5, ('m3', 'd5')))	42
((5, ('m3', 'd5', 'm6')), (-2, ('M2', 'a4', 'M6')))	42
((5, ('m3', 'd5')), (3, ('m3', 'P5')))	42
((2, ('m3', 'P5')), (0, ('m3', 'P5')))	42
((-2, ('M3', 'P5')), (-4, ('M3', 'M6')))	42
((4, ('m3', 'm6')), (-1, ('a4', 'M6')))	42
((1, ('P4', 'm6')), (-4, ('M3', 'M6')))	42
((-2, ('M2', 'P4', 'M6')), (-4, ('M3', 'P5')))	42
((2, ('m3', 'M6')), (2, ('m3', 'P4', 'M6')))	42
((-4, ('a2', 'a4', 'M6')), (0, ('M3', 'P5')))	42
((2, ('m3', 'd5', 'M6')), (0, ('m3', 'P5')))	42
((0, ('P4', 'm6')), (5, ('m3', 'd5', 'd7')))	42
((-3, ('M3', 'M6')), (0, ('m3', 'm6')))	41
((0, ('a4', 'M6')), (1, ('M3', 'P5')))	41
((5, ('m3', 'm6')), (5, ('m3', 'm6')))	41
((-1, ('M3', 'P5')), (-3, ('M3', 'P5')))	41
((1, ('M3', 'P5')), (0, ('M2', 'a4', 'M6')))	41
((-1, ('m3', 'P5')), (-1, ('M3', 'P5')))	41
((0, ('M3', 'm6')), (0, ('M3', 'P5')))	41
((-1, ('m3', 'P5')), (-1, ('m3', 'P5', 'm7')))	41
((0, ('m3', 'm6')), (1, ('M3', 'P5')))	41
((3, ('m3', 'P5')), (4, ('m3', 'P5')))	41
((-1, ('M3', 'P5')), (2, ('m3', 'm6')))	41
((1, ('m3', 'm6')), (1, ('m3', 'P5')))	41
((-1, ('M3', 'M6')), (6, ('m3', 'd5', 'd7')))	41
((-2, ('m3', 'a4', 'M6')), (3, ('m3', 'm6')))	40
((-1, ('M3', 'P5', 'M6')), (4, ('m3', 'm6')))	40
((1, ('m3', 'd5', 'm6')), (-4, ('M3', 'P5')))	40
((4, ('m3', 'P5')), (2, ('m3', 'P5')))	40
((0, ('m3', 'P5')), (-4, ('M3', 'M7')))	40
((-2, ('M3', 'M6')), (3, ('m3', 'm7')))	40
((0, ('M3', 'M6')), (2, ('M3', 'P5')))	40
((-1, ('m3', 'P5')), (0, ('M3', 'P5', 'm7')))	40
((-4, ('M3', 'P5')), (6, ('m3', 'd5', 'd7')))	40
((-1, ('M2', 'P5')), (4, ('m3', 'm6')))	40
((1, ('P4', 'M6')), (5, ('m3', 'd5', 'm6')))	40
((1, ('P4', 'M6')), (2, ('m3', 'P4', 'M6')))	40
((2, ('m3', 'P5')), (7, ('m3', 'm6')))	40
((1, ('m3', 'P4', 'M6')), (3, ('m3', 'm6')))	40
((3, ('m3', 'P5')), (1, ('M3', 'P5', 'm7')))	40
((2, ('P4', 'm6')), (2, ('P4', 'P5')))	40
((0, ('M3', 'a4', 'M6')), (0, ('M3', 'P5')))	40
