mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
303	298	594	604	0.0		0	0	StaffText	2/4	2	1	0							<i>dim.</i>						
303	298	594	604	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4176									
303	298	1189/2	1209/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4177									
303	298	595	605	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4178		articStaccatoAbove							
303	298	1191/2	1211/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4179		articStaccatoAbove							
303	298	594	604	0.0		0	0	StaffText	2/4	3	1	0							<i>dim.</i>						
303	298	594	604	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4180									
303	298	1189/2	1209/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	4181									
303	298	595	605	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4182		articStaccatoBelow							
303	298	1191/2	1211/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4183		articStaccatoBelow							
303	298	594	604	0.0		0	0	StaffText	2/4	4	1	0							<i>dim.</i>						
303	298	594	604	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4184									
303	298	1189/2	1209/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4185									
303	298	595	605	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4186									
303	298	1191/2	1211/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4187									
304	299	596	606	0.0		0	0	Dynamic	2/4	1	1	0					p								
304	299	596	606	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	4188									
304	299	596	606	0.0		0	0	Dynamic	2/4	2	1	0					p								
304	299	596	606	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	4189									
304	299	2385/4	2425/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	4190									
304	299	1193/2	1213/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	4191									
304	299	2387/4	2427/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4192									
304	299	597	607	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	4193									
304	299	2389/4	2429/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	4194									
304	299	1195/2	1215/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4195									
304	299	2391/4	2431/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4196									
304	299	596	606	0.0		0	0	Dynamic	2/4	3	1	0					p								
304	299	596	606	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	4197									
304	299	2385/4	2425/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	4198									
304	299	1193/2	1213/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	4199									
304	299	2387/4	2427/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	4200									
304	299	597	607	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4201									
304	299	2389/4	2429/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4202									
304	299	1195/2	1215/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4203									
304	299	2391/4	2431/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4204									
304	299	596	606	0.0		0	0	Dynamic	2/4	4	1	0					p								
304	299	596	606	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	4205									
304	299	2385/4	2425/4	0.25		1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	4206									
304	299	1193/2	1213/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	4207									
304	299	2387/4	2427/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	4208									
304	299	597	607	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4209									
304	299	1195/2	1215/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4210									
305	300	598	608	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4211									
305	300	2393/4	2433/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4212									
305	300	1197/2	1217/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4213									
305	300	2395/4	2435/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4214									
305	300	599	609	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4215									
305	300	2397/4	2437/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4216									
305	300	1199/2	1219/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4217									
305	300	2399/4	2439/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4218									
305	300	598	608	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	4219									
305	300	598	608	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	4220									
305	300	598	608	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	4221									
306	301	600	610	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	4222									
306	301	600	610	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	4223									
306	301	2401/4	2441/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	4224									
306	301	1201/2	1221/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	4225									
306	301	2403/4	2443/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4226									
306	301	601	611	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	4227									
306	301	2405/4	2445/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	4228									
306	301	1203/2	1223/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4229									
306	301	2407/4	2447/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4230									
306	301	600	610	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	4231									
306	301	2401/4	2441/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	4232									
306	301	1201/2	1221/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	4233									
306	301	2403/4	2443/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	4234									
306	301	601	611	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4235									
306	301	2405/4	2445/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4236									
306	301	1203/2	1223/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4237									
306	301	2407/4	2447/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4238									
306	301	600	610	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	4239									
307	302	602	612	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4240									
307	302	2409/4	2449/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4241									
307	302	1205/2	1225/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4242									
307	302	2411/4	2451/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4243									
307	302	603	613	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4244									
307	302	2413/4	2453/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4245									
307	302	1207/2	1227/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4246									
307	302	2415/4	2455/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4247									
307	302	602	612	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	4248									
307	302	602	612	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	4249									
307	302	2409/4	2449/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	4250									
307	302	1205/2	1225/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	4251									
307	302	2411/4	2451/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	4252									
307	302	603	613	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4253									
307	302	2413/4	2453/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4254									
307	302	1207/2	1227/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4255									
307	302	2415/4	2455/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4256									
307	302	602	612	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	4257									
308	303	604	614	0.0		0	0	StaffText	2/4	1	1	0							<i>cresc.</i>						
308	303	604	614	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4258									
308	303	2417/4	2457/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4259									
308	303	1209/2	1229/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4260									
308	303	2419/4	2459/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4261									
308	303	605	615	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4262									
308	303	2421/4	2461/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4263									
308	303	1211/2	1231/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4264									
308	303	2423/4	2463/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4265									
308	303	604	614	0.0		0	0	StaffText	2/4	2	1	0							<i>cresc.</i>						
308	303	604	614	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4266									
308	303	605	615	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4267									
308	303	604	614	0.0		0	0	StaffText	2/4	3	1	0							<i>cresc.</i>						
308	303	604	614	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4268									
308	303	605	615	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4269									
308	303	604	614	0.0		0	0	StaffText	2/4	4	1	0							<i>cresc.</i>						
308	303	604	614	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4270									
308	303	605	615	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4271									
309	304	606	616	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4272									
309	304	2425/4	2465/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4273									
309	304	1213/2	1233/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4274									
309	304	2427/4	2467/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4275									
309	304	607	617	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4276									
309	304	2429/4	2469/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4277									
309	304	1215/2	1235/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4278									
309	304	2431/4	2471/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4279									
309	304	606	616	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4280									
309	304	607	617	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	4281									
309	304	2429/4	2469/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	4282									
309	304	1215/2	1235/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4283									
309	304	2431/4	2471/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4284									
309	304	606	616	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4285									
309	304	607	617	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4286									
309	304	2429/4	2469/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4287									
309	304	1215/2	1235/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4288									
309	304	2431/4	2471/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4289									
309	304	606	616	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4290									
309	304	607	617	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4291									
310	305	608	618	0.0		0	0	Dynamic	2/4	1	1	0					f								
310	305	608	618	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4292									
310	305	2433/4	2473/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4293									
310	305	1217/2	1237/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4294									
310	305	2435/4	2475/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4295									
310	305	609	619	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4296									
310	305	2437/4	2477/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4297									
310	305	1219/2	1239/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4298									
310	305	2439/4	2479/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4299									
310	305	608	618	0.0		0	0	Dynamic	2/4	2	1	0					f								
310	305	608	618	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	4300									
310	305	2433/4	2473/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	4301									
310	305	1217/2	1237/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	4302									
310	305	2435/4	2475/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4303									
310	305	609	619	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	4304									
310	305	2437/4	2477/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	4305									
310	305	1219/2	1239/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4306									
310	305	2439/4	2479/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4307									
310	305	608	618	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	4308									
310	305	2433/4	2473/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	4309									
310	305	1217/2	1237/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	4310									
310	305	2435/4	2475/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	4311									
310	305	609	619	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4312									
310	305	2437/4	2477/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4313									
310	305	1219/2	1239/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4314									
310	305	2439/4	2479/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4315									
310	305	608	618	0.0		0	0	Dynamic	2/4	4	1	0					f								
310	305	608	618	0.0		0	0	Dynamic	2/4	4	1	0					f								
310	305	608	618	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4316									
310	305	1217/2	1237/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4317									
310	305	609	619	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4318									
310	305	1219/2	1239/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4319									
311	306	610	620	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	4320		articStaccatoAbove							
311	306	1221/2	1241/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4321		articStaccatoAbove							
311	306	611	621	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4322		articStaccatoAbove							
311	306	1223/2	1243/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4323		articStaccatoAbove							
311	306	610	620	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	4324									
311	306	2441/4	2481/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	4325									
311	306	1221/2	1241/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	4326									
311	306	2443/4	2483/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4327									
311	306	611	621	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	4328									
311	306	2445/4	2485/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	4329									
311	306	1223/2	1243/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4330									
311	306	2447/4	2487/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4331									
311	306	610	620	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	4332									
311	306	2441/4	2481/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	4333									
311	306	1221/2	1241/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	4334									
311	306	2443/4	2483/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	4335									
311	306	611	621	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	4336									
311	306	2445/4	2485/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	4337									
311	306	1223/2	1243/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	4338									
311	306	2447/4	2487/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	4339									
311	306	610	620	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4340									
311	306	1221/2	1241/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4341									
311	306	611	621	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4342									
311	306	1223/2	1243/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4343									
312	307	612	622	0.0		0	0	Dynamic	2/4	2	1	0					p								
312	307	1225/2	1245/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4344		articStaccatoBelow							
312	307	613	623	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4345		articStaccatoBelow							
312	307	1227/2	1247/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4346		articStaccatoBelow							
313	308	614	624	0.0		0	0	Dynamic	2/4	1	1	0					p								
313	308	1229/2	1249/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4347		articStaccatoAbove							
313	308	615	625	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4348		articStaccatoAbove							
313	308	1231/2	1251/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4349		articStaccatoAbove							
313	308	614	624	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	4350							395		
313	308	2459/4	2499/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	4351									
313	308	615	625	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	4352									
314	309	616	626	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	4353							396		
314	309	2467/4	2507/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4354									
314	309	617	627	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	4355									
314	309	1233/2	1253/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4356		articStaccatoBelow							
314	309	617	627	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4357		articStaccatoBelow							
314	309	1235/2	1255/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4358		articStaccatoBelow							
314	309	1235/2	1255/2	0.0		3/8	3/8	Dynamic	2/4	3	1	0					p								
314	309	1235/2	1255/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4359									
314	309	1235/2	1255/2	0.0		3/8	3/8	Dynamic	2/4	4	1	0					p								
314	309	1235/2	1255/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4360									
315	310	1237/2	1257/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4361		articStaccatoAbove							
315	310	619	629	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4362		articStaccatoAbove							
315	310	1239/2	1259/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4363		articStaccatoAbove							
315	310	618	628	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4364									
315	310	1237/2	1257/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4365									
315	310	619	629	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4366									
315	310	1239/2	1259/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4367									
315	310	618	628	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4368									
315	310	1237/2	1257/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	4369									
315	310	619	629	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4370									
315	310	1239/2	1259/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4371									
315	310	618	628	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4372									
315	310	1237/2	1257/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4373									
315	310	619	629	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4374									
315	310	1239/2	1259/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4375									
316	311	620	630	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	4376							397		
316	311	2483/4	2523/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	4377									
316	311	621	631	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	4378									
316	311	620	630	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4379									
316	311	1241/2	1261/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4380									
316	311	621	631	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4381									
316	311	1243/2	1263/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4382									
316	311	620	630	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4383									
316	311	1241/2	1261/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	4384		articStaccatoAbove							
316	311	621	631	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4385		articStaccatoAbove							
316	311	1243/2	1263/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4386		articStaccatoAbove							
316	311	620	630	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4387									
316	311	1241/2	1261/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4388		articStaccatoAbove							
316	311	621	631	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4389		articStaccatoAbove							
316	311	1243/2	1263/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4390		articStaccatoAbove							
317	312	622	632	0.0		0	0	StaffText	2/4	1	1	0							<i>poco</i>						
317	312	1245/2	1265/2	0.0		1/8	1/8	StaffText	2/4	1	1	0							<i>cresc.</i>						
317	312	1245/2	1265/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4391		articStaccatoAbove							
317	312	623	633	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4392		articStaccatoAbove							
317	312	1247/2	1267/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4393		articStaccatoAbove							
317	312	622	632	0.0		0	0	StaffText	2/4	2	1	0							<i>poco</i>						
317	312	622	632	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4394		articStaccatoAbove							
317	312	1245/2	1265/2	0.0		1/8	1/8	StaffText	2/4	2	1	0							<i>cresc.</i>						
317	312	1245/2	1265/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4395		articStaccatoAbove							
317	312	623	633	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4396		articStaccatoAbove							
317	312	1247/2	1267/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4397		articStaccatoAbove							
317	312	622	632	0.0		0	0	StaffText	2/4	3	1	0							<i>poco</i>						
317	312	622	632	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4398		articStaccatoAbove							
317	312	1245/2	1265/2	0.0		1/8	1/8	StaffText	2/4	3	1	0							<i>cresc.</i>						
317	312	1245/2	1265/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	4399		articStaccatoAbove							
317	312	623	633	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4400		articStaccatoAbove							
317	312	1247/2	1267/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4401		articStaccatoAbove							
317	312	622	632	0.0		0	0	StaffText	2/4	4	1	0							<i>poco</i>						
317	312	622	632	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	4402		articStaccatoAbove							
317	312	1245/2	1265/2	0.0		1/8	1/8	StaffText	2/4	4	1	0							<i>cresc.</i>						
317	312	1245/2	1265/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	4403		articStaccatoAbove							
317	312	623	633	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	4404		articStaccatoAbove							
317	312	1247/2	1267/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4405		articStaccatoAbove							
318	313	624	634	0.0		0	0	StaffText	2/4	1	1	0							<i>dim.</i>						
318	313	624	634	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	4406							398		
318	313	1251/2	1271/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4407									
318	313	624	634	0.0		0	0	StaffText	2/4	2	1	0							<i>dim.</i>						
318	313	624	634	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	4408							399		
318	313	1251/2	1271/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4409									
318	313	624	634	0.0		0	0	StaffText	2/4	3	1	0							<i>dim.</i>						
318	313	624	634	1.5		0	0	Chord	2/4	3	1	3/8		1/4	3/2	4410							400		
318	313	1251/2	1271/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	4411									
318	313	624	634	0.0		0	0	StaffText	2/4	4	1	0							<i>dim.</i>						
318	313	624	634	1.5		0	0	Chord	2/4	4	1	3/8		1/4	3/2	4412							401		
318	313	1251/2	1271/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	4413									
319	314	626	636	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	4414							402		
319	314	1253/2	1273/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4415									
319	314	627	637	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4416							403		
319	314	1255/2	1275/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4417									
319	314	626	636	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4418							404		
319	314	1253/2	1273/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4419									
319	314	627	637	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4420							405		
319	314	1255/2	1275/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4421									
319	314	626	636	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4422							406		
319	314	1253/2	1273/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	4423									
319	314	627	637	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	4424							407		
