mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
113	112	335	338	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1590						
113	112	671/2	677/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1591						
113	112	333	336	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1592				234		
113	112	669/2	675/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1593				234		
114	113	336	339	0.0		0	0	Dynamic	6/8	1	1	0					sf					
114	113	336	339	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	1594				235		
114	113	1345/4	1357/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	1595						
114	113	673/2	679/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	1596		articStaccatoAbove				
114	113	1347/4	1359/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1597		articStaccatoAbove				
114	113	337	340	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1598		articStaccatoAbove				
114	113	1349/4	1361/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1599		articStaccatoAbove				
114	113	675/2	681/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1600						
114	113	336	339	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1601						
114	113	675/2	681/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sf					
114	113	675/2	681/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	1602				236		
114	113	1351/4	1363/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	1603						
114	113	338	341	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	1604		articStaccatoAbove				
114	113	1353/4	1365/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	1605		articStaccatoAbove				
114	113	677/2	683/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	1606		articStaccatoAbove				
114	113	1355/4	1367/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	1607		articStaccatoAbove				
114	113	336	339	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	1608						
114	113	336	339	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1609						
115	114	339	342	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1610						
115	114	339	342	0.0		0	0	Dynamic	6/8	3	1	0					sf					
115	114	339	342	0.25		0	0	Chord	6/8	3	1	1/16		1/16	1	1611				237		
115	114	1357/4	1369/4	0.25		1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	1612						
115	114	679/2	685/2	0.25		1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	1613		articStaccatoAbove				
115	114	1359/4	1371/4	0.25		3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	1614		articStaccatoAbove				
115	114	340	343	0.25		1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	1615		articStaccatoAbove				
115	114	1361/4	1373/4	0.25		5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	1616		articStaccatoAbove				
115	114	681/2	687/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	1617						
115	114	681/2	687/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sf					
115	114	681/2	687/2	0.25		3/8	3/8	Chord	6/8	4	1	1/16		1/16	1	1618				238		
115	114	1363/4	1375/4	0.25		7/16	7/16	Chord	6/8	4	1	1/16		1/16	1	1619				238		
115	114	341	344	0.25		1/2	1/2	Chord	6/8	4	1	1/16		1/16	1	1620				238		
115	114	1365/4	1377/4	0.25		9/16	9/16	Chord	6/8	4	1	1/16		1/16	1	1621				238		
115	114	683/2	689/2	0.25		5/8	5/8	Chord	6/8	4	1	1/16		1/16	1	1622				238		
115	114	1367/4	1379/4	0.25		11/16	11/16	Chord	6/8	4	1	1/16		1/16	1	1623						
116	115	342	345	0.0		0	0	StaffText	6/8	1	1	0							cresc.			
116	115	342	345	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1624						
116	115	685/2	691/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1625						
116	115	343	346	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1626						
116	115	687/2	693/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1627						
116	115	344	347	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1628						
116	115	689/2	695/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1629						
116	115	685/2	691/2	0.0		1/8	1/8	StaffText	6/8	2	1	0							cresc.			
116	115	685/2	691/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1630						
116	115	343	346	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1631						
116	115	344	347	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1632						
116	115	689/2	695/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1633						
116	115	685/2	691/2	0.0		1/8	1/8	StaffText	6/8	3	1	0							cresc.			
116	115	685/2	691/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	1634						
116	115	343	346	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	1635						
116	115	344	347	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1636						
116	115	689/2	695/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1637						
116	115	342	345	0.0		0	0	StaffText	6/8	4	1	0							cresc.			
116	115	342	345	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1638				239		
116	115	687/2	693/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1639				239		
117	116	345	348	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1640						
117	116	691/2	697/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1641						
117	116	346	349	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1642						
117	116	693/2	699/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1643						
117	116	347	350	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1644						
117	116	695/2	701/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1645						
117	116	691/2	697/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1646						
117	116	346	349	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1647						
117	116	347	350	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1648						
117	116	695/2	701/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1649						
117	116	691/2	697/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	1650						
117	116	346	349	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	1651						
117	116	347	350	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1652						
117	116	695/2	701/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1653						
117	116	345	348	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1654				239		
117	116	693/2	699/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1655				239		
118	117	348	351	0.0		0	0	Dynamic	6/8	1	1	0					f					
118	117	348	351	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1656		articStaccatoBelow				
118	117	697/2	703/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1657				240		
118	117	349	352	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1658				240		
118	117	699/2	705/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1659				240		
118	117	350	353	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1660				240		
118	117	701/2	707/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1661				240		
118	117	348	351	0.0		0	0	Dynamic	6/8	2	1	0					f					
118	117	348	351	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	1662						
118	117	348	351	0.0		0	0	Dynamic	6/8	3	1	0					f					
118	117	348	351	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	1663						
118	117	348	351	0.0		0	0	Dynamic	6/8	4	1	0					f					
118	117	348	351	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1664						
119	118	351	354	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1665				240		
119	118	703/2	709/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1666				240		
119	118	352	355	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1667				240		
119	118	705/2	711/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1668				240		
119	118	353	356	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1669				240		
119	118	707/2	713/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1670						
119	118	351	354	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	1671						
119	118	703/2	709/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1672				241		
119	118	352	355	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1673				241		
119	118	705/2	711/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1674				241		
119	118	353	356	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1675				241		
119	118	707/2	713/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1676						
119	118	351	354	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	1677						
119	118	703/2	709/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	1678						
119	118	352	355	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	1679						
119	118	705/2	711/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	1680						
119	118	353	356	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1681						
119	118	707/2	713/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1682						
119	118	703/2	709/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	1683						
119	118	352	355	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	1684						
119	118	705/2	711/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	1685						
119	118	353	356	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	1686						
119	118	707/2	713/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	1687						
120	119	354	357	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1688		articStaccatoAbove				
120	119	709/2	715/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1689		articStaccatoAbove				
120	119	355	358	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1690		articStaccatoAbove				
120	119	711/2	717/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					p					
120	119	711/2	717/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1691						
120	119	356	359	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1692						
120	119	713/2	719/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1693						
120	119	354	357	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1694						
120	119	711/2	717/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					p					
120	119	711/2	717/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	1695				242		
120	119	354	357	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	1696						
120	119	354	357	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1697						
120	119	711/2	717/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					p					
120	119	711/2	717/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1698				243		
121	120	357	360	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1699						
121	120	715/2	721/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1700						
121	120	358	361	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1701						
121	120	717/2	723/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1702						
121	120	359	362	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1703						
121	120	719/2	725/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1704						
121	120	357	360	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	1705				242		
121	120	717/2	723/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	1706						
121	120	357	360	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1707				243		
121	120	717/2	723/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1708				243		
122	121	360	363	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1709						
122	121	723/2	729/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					p					
122	121	723/2	729/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1710				244		
122	121	360	363	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	1711						
122	121	721/2	727/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1712		articStaccatoBelow				
122	121	361	364	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1713		articStaccatoBelow				
122	121	723/2	729/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1714						
122	121	362	365	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1715						
122	121	725/2	731/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1716						
122	121	723/2	729/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					p					
122	121	723/2	729/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	1717						
122	121	360	363	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1718		articStaccatoAbove				
122	121	723/2	729/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1719				245		
123	122	363	366	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	1720				244		
123	122	729/2	735/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1721						
123	122	363	366	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	1722						
123	122	727/2	733/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1723						
123	122	364	367	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1724						
123	122	729/2	735/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1725						
123	122	365	368	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1726						
123	122	731/2	737/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1727						
123	122	363	366	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	1728						
123	122	729/2	735/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	1729				246		
123	122	365	368	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1730				246		
123	122	731/2	737/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1731						
123	122	363	366	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1732				245		
123	122	729/2	735/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1733				245		
124	123	366	369	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1734		articStaccatoAbove				
124	123	733/2	739/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1735		articStaccatoAbove				
124	123	367	370	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1736		articStaccatoAbove				
124	123	735/2	741/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1737						
124	123	368	371	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1738						
124	123	737/2	743/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1739						
124	123	366	369	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1740		articStaccatoBelow				
124	123	735/2	741/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	1741				247		
124	123	366	369	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	1742		articStaccatoAbove				
124	123	366	369	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1743		articStaccatoBelow				
124	123	735/2	741/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1744				248		
125	124	369	372	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	1745						
125	124	739/2	745/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1746						
125	124	370	373	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1747						
125	124	741/2	747/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1748						
125	124	371	374	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1749						
125	124	743/2	749/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1750						
125	124	369	372	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	1751				247		
125	124	741/2	747/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	1752						
125	124	369	372	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1753				248		
125	124	741/2	747/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1754				248		
126	125	372	375	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1755						
126	125	747/2	753/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1756				249		
126	125	372	375	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	1757						
126	125	745/2	751/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1758		articStaccatoBelow				
126	125	373	376	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1759		articStaccatoBelow				
126	125	747/2	753/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1760						
126	125	374	377	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1761						
126	125	749/2	755/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1762						
126	125	747/2	753/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	1763						
126	125	372	375	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1764		articStaccatoAbove				
126	125	747/2	753/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1765				250		
127	126	375	378	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	1766				249		
127	126	753/2	759/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1767						
127	126	375	378	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	1768						
127	126	751/2	757/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	1769						
127	126	376	379	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1770						
127	126	753/2	759/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1771						
127	126	377	380	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	1772						
127	126	755/2	761/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1773						
127	126	375	378	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	1774						
127	126	753/2	759/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	1775				251		
127	126	377	380	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	1776				251		
127	126	755/2	761/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	1777						
127	126	375	378	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1778				250		
127	126	753/2	759/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	1779				250		
128	127	378	381	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1780						
128	127	378	381	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1781						
128	127	378	381	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	1782						
128	127	378	381	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1783		articStaccatoBelow				
128	127	759/2	765/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					pp					
128	127	759/2	765/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	1784		articStaccatoAbove		252		
128	127	761/2	767/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	1785		articStaccatoAbove				
129	128	765/2	771/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					pp					
129	128	765/2	771/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1786		articStaccatoAbove		253		
129	128	767/2	773/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1787		articStaccatoAbove				
129	128	765/2	771/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					pp					
129	128	765/2	771/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1788				254		
129	128	767/2	773/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1789						
129	128	381	384	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1790				255		
129	128	382	385	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	1791				255		
129	128	765/2	771/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	1792				255		
129	128	767/2	773/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	1793						
130	129	384	387	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1794				256		
130	129	385	388	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1795				256		
130	129	771/2	777/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1796				256		
130	129	773/2	779/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1797						
130	129	384	387	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	1798						
130	129	771/2	777/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1799						
130	129	773/2	779/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	1800				257		
130	129	1160/3	1169/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	1801				257		
130	129	2321/6	2339/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	1802						
130	129	384	387	0.0		0	0	Dynamic	6/8	3	1	0					pp					
130	129	384	387	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	1803						
130	129	384	387	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1804						
130	129	771/2	777/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	1805						
130	129	773/2	779/2	0.16666666666666666		5/8	5/8	Chord	6/8	4	1	1/24		1/16	2/3	1806				258		
130	129	1160/3	1169/3	0.16666666666666666		2/3	2/3	Chord	6/8	4	1	1/24		1/16	2/3	1807				258		
130	129	2321/6	2339/6	0.16666666666666666		17/24	17/24	Chord	6/8	4	1	1/24		1/16	2/3	1808						
131	130	387	390	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	1809						
131	130	777/2	783/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1810						
131	130	779/2	785/2	0.16666666666666666		5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	1811				259		
131	130	1169/3	1178/3	0.16666666666666666		2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	1812				259		
131	130	2339/6	2357/6	0.16666666666666666		17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	1813						
131	130	387	390	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	1814				260		
131	130	388	391	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1815				260		
131	130	777/2	783/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1816				260		
131	130	779/2	785/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1817						
131	130	387	390	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	1818				261		
131	130	777/2	783/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	1819						
131	130	387	390	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	1820				262		
131	130	388	391	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	1821				262		
131	130	777/2	783/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	1822				262		
131	130	779/2	785/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	1823						
132	131	390	393	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1824				263		
132	131	391	394	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1825				263		
132	131	783/2	789/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1826				263		
132	131	785/2	791/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1827						
132	131	390	393	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	1828						
132	131	783/2	789/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1829						
132	131	785/2	791/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	1830				264		
132	131	1178/3	1187/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	1831				264		
132	131	2357/6	2375/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	1832						
132	131	390	393	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	1833						
132	131	783/2	789/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	1834						
132	131	390	393	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	1835						
132	131	783/2	789/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	1836						
132	131	785/2	791/2	0.16666666666666666		5/8	5/8	Chord	6/8	4	1	1/24		1/16	2/3	1837				265		
132	131	1178/3	1187/3	0.16666666666666666		2/3	2/3	Chord	6/8	4	1	1/24		1/16	2/3	1838				265		
132	131	2357/6	2375/6	0.16666666666666666		17/24	17/24	Chord	6/8	4	1	1/24		1/16	2/3	1839						
133	132	393	396	0.0		0	0	StaffText	6/8	1	1	0							cresc.			
133	132	393	396	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	1840				266		
133	132	394	397	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1841				266		
133	132	789/2	795/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1842				266		
133	132	791/2	797/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1843				266		
133	132	393	396	0.0		0	0	StaffText	6/8	2	1	0							cresc.			
133	132	393	396	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	1844						
133	132	789/2	795/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1845						
133	132	791/2	797/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	1846				267		
133	132	1187/3	1196/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	1847				267		
