mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill
151	151	226	226	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1573		articStaccatoAbove			
151	151	905/4	905/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1574		articStaccatoAbove			
151	151	225	225	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1575					
151	151	451/2	451/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1576		articStaccatoBelow			
151	151	226	226	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1577		articStaccatoBelow			
151	151	225	225	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1578		articStaccatoAbove			
151	151	451/2	451/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1579		articStaccatoAbove			
151	151	226	226	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1580		articStaccatoAbove			
151	151	225	225	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	1581		articStaccatoBelow			
151	151	901/4	901/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	1582		articStaccatoBelow			
151	151	451/2	451/2	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	1583		articStaccatoBelow			
151	151	903/4	903/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	1584		articStaccatoBelow			
151	151	226	226	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	1585		articStaccatoBelow			
151	151	905/4	905/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	1586		articStaccatoBelow			
152	152	453/2	453/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1587		articStaccatoAbove			
152	152	907/4	907/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1588		articStaccatoAbove			
152	152	227	227	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1589		articStaccatoAbove			
152	152	909/4	909/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1590		articStaccatoAbove			
152	152	455/2	455/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1591		articStaccatoAbove			
152	152	911/4	911/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1592		articStaccatoAbove			
152	152	453/2	453/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1593		articStaccatoAbove			
152	152	227	227	0.375	1/8	1/8	Chord	3/8	2	1	3/32		1/16	3/2	1594		articStaccatoAbove			
152	152	1819/8	1819/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	1595		articStaccatoAbove			
152	152	455/2	455/2	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	1596		articStaccatoAbove			
152	152	1823/8	1823/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	1597		articStaccatoAbove			
152	152	453/2	453/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1598		articStaccatoAbove			
152	152	227	227	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1599		articStaccatoAbove			
152	152	455/2	455/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1600		articStaccatoAbove			
152	152	911/4	911/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1601		articStaccatoAbove			
152	152	453/2	453/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1602					
152	152	227	227	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1603					
153	153	228	228	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1604		articStaccatoAbove			
153	153	913/4	913/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1605		articStaccatoAbove			
153	153	457/2	457/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1606		articStaccatoAbove			
153	153	915/4	915/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1607		articStaccatoAbove			
153	153	229	229	0.0	1/4	1/4	Dynamic	3/8	1	1	0					sf				
153	153	229	229	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1608					
153	153	228	228	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1609		articStaccatoBelow			
153	153	457/2	457/2	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
153	153	457/2	457/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	1610					
153	153	228	228	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1611		articStaccatoBelow			
153	153	913/4	913/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1612		articStaccatoBelow			
153	153	457/2	457/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1613		articStaccatoBelow			
153	153	915/4	915/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1614		articStaccatoBelow			
153	153	229	229	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1615		articStaccatoBelow			
153	153	917/4	917/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1616		articStaccatoBelow			
153	153	228	228	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1617					
153	153	457/2	457/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1618					
154	154	459/2	459/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1619					
154	154	919/4	919/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1620		articStaccatoAbove			
154	154	230	230	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1621		articStaccatoAbove			
154	154	921/4	921/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1622		articStaccatoAbove			
154	154	461/2	461/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1623		articStaccatoAbove			
154	154	923/4	923/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1624		articStaccatoAbove			
154	154	459/2	459/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1625					
154	154	230	230	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1626					
154	154	461/2	461/2	0.0	1/4	1/4	Chord	3/8	2	1	0	grace16after	1/16	1	1627					
154	154	461/2	461/2	0.0	1/4	1/4	Chord	3/8	2	1	0	grace16after	1/16	1	1628					
154	154	461/2	461/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1629		ornamentTrill			
154	154	459/2	459/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1630		articStaccatoBelow			
154	154	230	230	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1631		articStaccatoBelow			
154	154	461/2	461/2	0.0	1/4	1/4	Dynamic	3/8	3	1	0					sf				
154	154	461/2	461/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1632					
154	154	459/2	459/2	1.5	0	0	Chord	3/8	4	1	3/8		1/4	3/2	1633					
155	155	231	231	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1634		articStaccatoAbove			
155	155	925/4	925/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1635		articStaccatoAbove			
155	155	463/2	463/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1636		articStaccatoAbove			
155	155	927/4	927/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1637		articStaccatoAbove			
155	155	232	232	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1638		articStaccatoAbove			
155	155	929/4	929/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1639		articStaccatoAbove			
155	155	231	231	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1640					
155	155	231	231	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1641					
155	155	463/2	463/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1642					
155	155	232	232	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1643		articStaccatoAbove			
155	155	929/4	929/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1644		articStaccatoAbove			
155	155	231	231	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1645					
155	155	463/2	463/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1646					
155	155	232	232	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1647					
156	156	465/2	465/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1648					
156	156	233	233	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	1649		articStaccatoAbove			
156	156	1867/8	1867/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	1650		articStaccatoAbove			
156	156	467/2	467/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	1651		articStaccatoAbove			
156	156	1871/8	1871/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	1652		articStaccatoAbove			
156	156	465/2	465/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1653		articStaccatoAbove			
156	156	931/4	931/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1654		articStaccatoAbove			
156	156	233	233	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1655		articStaccatoAbove			
156	156	933/4	933/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1656		articStaccatoAbove			
156	156	467/2	467/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1657		articStaccatoAbove			
156	156	935/4	935/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1658		articStaccatoAbove			
156	156	465/2	465/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1659					
156	156	233	233	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1660					
156	156	467/2	467/2	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	1661					
156	156	935/4	935/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	1662					
157	157	234	234	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1663		articStaccatoAbove			
157	157	469/2	469/2	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
157	157	469/2	469/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	1664					
157	157	234	234	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1665		articStaccatoAbove			
157	157	937/4	937/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1666		articStaccatoAbove			
157	157	469/2	469/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1667		articStaccatoAbove			
157	157	939/4	939/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1668		articStaccatoAbove			
157	157	235	235	0.0	1/4	1/4	Dynamic	3/8	3	1	0					sf				
157	157	235	235	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1669					
157	157	234	234	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	1670		articStaccatoAbove			
157	157	937/4	937/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	1671		articStaccatoAbove			
157	157	469/2	469/2	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	1672		articStaccatoAbove			
157	157	939/4	939/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	1673		articStaccatoAbove			
157	157	235	235	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	1674		articStaccatoAbove			
157	157	941/4	941/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	1675		articStaccatoAbove			
158	158	471/2	471/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1676					
158	158	236	236	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1677					
158	158	473/2	473/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1678		ornamentTrill			
158	158	471/2	471/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1679					
158	158	943/4	943/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1680		articStaccatoAbove			
158	158	236	236	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1681		articStaccatoAbove			
158	158	945/4	945/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1682		articStaccatoAbove			
158	158	473/2	473/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1683		articStaccatoAbove			
158	158	947/4	947/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1684		articStaccatoAbove			
158	158	471/2	471/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1685		articStaccatoAbove			
158	158	236	236	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1686		articStaccatoAbove			
158	158	473/2	473/2	0.0	1/4	1/4	Dynamic	3/8	4	1	0					sf				
158	158	473/2	473/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1687					
159	159	237	237	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1688		articStaccatoBelow			
159	159	475/2	475/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1689		articStaccatoBelow			
159	159	238	238	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1690		articStaccatoBelow			
159	159	238	238	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	1691		articStaccatoBelow			
159	159	953/4	953/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	1692		articStaccatoBelow			
159	159	237	237	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1693		articStaccatoBelow			
159	159	949/4	949/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1694		articStaccatoBelow			
159	159	475/2	475/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1695		articStaccatoBelow			
159	159	951/4	951/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1696		articStaccatoBelow			
159	159	238	238	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1697		articStaccatoBelow			
159	159	953/4	953/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1698		articStaccatoBelow			
159	159	237	237	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1699					
159	159	475/2	475/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1700		articStaccatoAbove			
159	159	238	238	0.0	1/4	1/4	Dynamic	3/8	4	1	0					sf				
159	159	238	238	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1701		articStaccatoAbove			
160	160	477/2	477/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1702		articStaccatoAbove			
160	160	239	239	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1703		articStaccatoAbove			
160	160	479/2	479/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1704		articStaccatoAbove			
160	160	959/4	959/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1705		articStaccatoAbove			
160	160	477/2	477/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	1706		articStaccatoBelow			
160	160	955/4	955/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	1707		articStaccatoBelow			
160	160	239	239	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	1708		articStaccatoBelow			
160	160	957/4	957/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	1709		articStaccatoBelow			
160	160	479/2	479/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	1710		articStaccatoBelow			
160	160	959/4	959/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	1711		articStaccatoBelow			
160	160	477/2	477/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1712					
160	160	477/2	477/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1713					
160	160	239	239	0.375	1/8	1/8	Chord	3/8	4	1	3/32		1/16	3/2	1714		articStaccatoAbove			
160	160	1915/8	1915/8	0.125	7/32	7/32	Chord	3/8	4	1	1/32		1/32	1	1715		articStaccatoAbove			
160	160	479/2	479/2	0.375	1/4	1/4	Chord	3/8	4	1	3/32		1/16	3/2	1716		articStaccatoAbove			
160	160	1919/8	1919/8	0.125	11/32	11/32	Chord	3/8	4	1	1/32		1/32	1	1717		articStaccatoAbove			
161	161	240	240	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1718		articStaccatoAbove			
161	161	961/4	961/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1719		articStaccatoAbove			
161	161	481/2	481/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1720		articStaccatoAbove			
161	161	963/4	963/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1721		articStaccatoAbove			
161	161	241	241	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1722		articStaccatoAbove			
161	161	965/4	965/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1723		articStaccatoAbove			
161	161	240	240	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	1724		articStaccatoBelow			
161	161	961/4	961/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	1725		articStaccatoBelow			
161	161	481/2	481/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	1726		articStaccatoBelow			
161	161	963/4	963/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	1727		articStaccatoBelow			
161	161	241	241	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
161	161	241	241	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1728					
161	161	481/2	481/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1729		articStaccatoAbove			
161	161	963/4	963/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1730		articStaccatoAbove			
161	161	241	241	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1731		articStaccatoAbove			
161	161	965/4	965/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1732		articStaccatoAbove			
161	161	240	240	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1733		articStaccatoBelow			
161	161	481/2	481/2	0.0	1/8	1/8	Dynamic	3/8	4	1	0					sf				
161	161	481/2	481/2	1.0	1/8	1/8	Chord	3/8	4	1	1/4		1/4	1	1734					
162	162	483/2	483/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1735		articStaccatoBelow			
162	162	242	242	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1736		articStaccatoBelow			
162	162	485/2	485/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1737					
162	162	483/2	483/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	1738					
162	162	967/4	967/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	1739		articStaccatoBelow			
162	162	242	242	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	1740		articStaccatoBelow			
162	162	969/4	969/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	1741		articStaccatoBelow			
162	162	485/2	485/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	1742		articStaccatoBelow			
162	162	971/4	971/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	1743		articStaccatoBelow			
162	162	483/2	483/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1744					
162	162	242	242	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1745					
162	162	485/2	485/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1746					
162	162	483/2	483/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1747					
162	162	242	242	0.0	1/8	1/8	Chord	3/8	4	1	0	grace8after	1/8	1	1748					
162	162	242	242	0.0	1/8	1/8	Chord	3/8	4	1	0	grace8after	1/8	1	1749					
162	162	242	242	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1750					
162	162	485/2	485/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1751		ornamentTrill			
163	163	243	243	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1752					
163	163	973/4	973/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1753		articStaccatoBelow			
163	163	487/2	487/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1754		articStaccatoBelow			
163	163	975/4	975/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1755		articStaccatoBelow			
163	163	244	244	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1756		articStaccatoBelow			
163	163	977/4	977/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1757		articStaccatoBelow			
163	163	243	243	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1758		articStaccatoBelow			
163	163	487/2	487/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1759		articStaccatoBelow			
163	163	244	244	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1760		articStaccatoBelow			
163	163	243	243	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1761					
163	163	244	244	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1762					
163	163	243	243	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1763		articStaccatoBelow			
163	163	487/2	487/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1764		articStaccatoBelow			
163	163	244	244	0.0	1/4	1/4	Dynamic	3/8	4	1	0					sf				
163	163	244	244	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1765					
164	164	489/2	489/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1766		articStaccatoBelow			
164	164	245	245	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1767		articStaccatoBelow			
164	164	491/2	491/2	0.0	1/4	1/4	Dynamic	3/8	1	1	0					sf				
164	164	491/2	491/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1768					
164	164	489/2	489/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1769		articStaccatoAbove			
164	164	489/2	489/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1770					
164	164	245	245	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	1771					
164	164	491/2	491/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1772					
164	164	489/2	489/2	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	1773					
164	164	979/4	979/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	1774		articStaccatoAbove			
164	164	245	245	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	1775		articStaccatoAbove			
164	164	981/4	981/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	1776		articStaccatoAbove			
164	164	491/2	491/2	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	1777		articStaccatoAbove			
164	164	983/4	983/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	1778		articStaccatoAbove			
165	165	246	246	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1779					
165	165	985/4	985/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1780		articStaccatoBelow			
165	165	493/2	493/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1781		articStaccatoBelow			
165	165	987/4	987/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1782		articStaccatoBelow			
165	165	247	247	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1783		articStaccatoBelow			
165	165	989/4	989/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1784		articStaccatoBelow			
165	165	493/2	493/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1785					
165	165	247	247	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1786					
165	165	246	246	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	1787					
165	165	247	247	0.0	1/4	1/4	Dynamic	3/8	3	1	0					sf				
165	165	247	247	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	1788					
165	165	246	246	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	1789		articStaccatoBelow			
165	165	493/2	493/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	1790		articStaccatoBelow			
165	165	247	247	0.0	1/4	1/4	Dynamic	3/8	4	1	0					sf				
165	165	247	247	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	1791					
166	166	495/2	495/2	0.0	0	0	StaffText	3/8	1	1	0							cresc.		
166	166	495/2	495/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	1792					
166	166	991/4	991/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	1793					
166	166	248	248	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1794					
166	166	993/4	993/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	1795					
166	166	497/2	497/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	1796					
166	166	995/4	995/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	1797					
166	166	495/2	495/2	0.0	0	0	StaffText	3/8	2	1	0							cresc.		
166	166	495/2	495/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	1798					
166	166	991/4	991/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	1799					
166	166	248	248	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	1800					
166	166	993/4	993/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	1801					
166	166	497/2	497/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	1802					
166	166	995/4	995/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	1803					
166	166	495/2	495/2	0.0	0	0	StaffText	3/8	3	1	0							cresc.		
166	166	495/2	495/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	1804					
166	166	991/4	991/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	1805					
166	166	248	248	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	1806					
166	166	993/4	993/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	1807					
166	166	497/2	497/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	1808					
166	166	995/4	995/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	1809					
166	166	495/2	495/2	0.0	0	0	StaffText	3/8	4	1	0							cresc.		
166	166	495/2	495/2	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	1810					
166	166	991/4	991/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	1811					
166	166	248	248	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	1812					
166	166	993/4	993/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	1813					
166	166	497/2	497/2	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	1814					
