mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
201	201	1201/2	1201/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					f												
201	201	1201/2	1201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2383									595				
201	201	601	601	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2384													
201	201	1203/2	1203/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2385									596				
201	201	602	602	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2386													
201	201	1205/2	1205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2387													
201	201	600	600	0.0	0	0	Dynamic	3/4	3	1	0					p												
201	201	600	600	0.0	0	0	Spanner	3/4	3	1	0																	
201	201	600	600	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2388													
201	201	1201/2	1201/2	1.0	1/8	1/8	Chord	3/4	3	1	1/4		1/4	1	2389									597				
201	201	1203/2	1203/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	2390									598				
201	201	1205/2	1205/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2391													
201	201	600	600	0.0	0	0	Dynamic	3/4	4	1	0					p												
201	201	600	600	0.0	0	0	Spanner	3/4	4	1	0																	
201	201	600	600	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2392													
201	201	1201/2	1201/2	0.0	1/8	1/8	Dynamic	3/4	4	1	0					f												
201	201	1201/2	1201/2	0.0	1/8	1/8	Dynamic	3/4	4	1	0					f												
201	201	1201/2	1201/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	2393									599				
201	201	601	601	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2394													
201	201	1203/2	1203/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	2395									600				
201	201	602	602	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2396													
201	201	1205/2	1205/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2397													
202	202	603	603	0.0	0	0	Spanner	3/4	1	1	0															100		
202	202	603	603	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	2398											100		
202	202	603	603	0.0	0	0	Spanner	3/4	2	1	0															101		
202	202	603	603	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	2399									601		101		
202	202	1209/2	1209/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2400									601		101		
202	202	605	605	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2401									601		101		
202	202	1211/2	1211/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2402											101		
202	202	603	603	0.0	0	0	Spanner	3/4	3	1	0															102		
202	202	603	603	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	2403											102		
202	202	605	605	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2404											102		
202	202	1211/2	1211/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2405											102		
202	202	603	603	0.0	0	0	Spanner	3/4	4	1	0															103		
202	202	603	603	1.5	0	0	Chord	3/4	4	1	3/8		1/4	3/2	2406									602		103		
202	202	1209/2	1209/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	2407									602		103		
202	202	605	605	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2408									602		103		
202	202	1211/2	1211/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2409											103		
203	203	606	606	0.0	0	0	Dynamic	3/4	1	1	0					p												
203	203	606	606	0.0	0	0	Spanner	3/4	1	1	0																	
203	203	606	606	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	2410													
203	203	1213/2	1213/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					f												
203	203	1213/2	1213/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	2411									603				
203	203	607	607	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2412													
203	203	1215/2	1215/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2413									604				
203	203	608	608	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2414													
203	203	1217/2	1217/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	2415													
203	203	606	606	0.0	0	0	Dynamic	3/4	2	1	0					p												
203	203	606	606	0.0	0	0	Spanner	3/4	2	1	0																	
203	203	606	606	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2416													
203	203	1213/2	1213/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					f												
203	203	1213/2	1213/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2417									605				
203	203	607	607	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2418													
203	203	1215/2	1215/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	2419													
203	203	1217/2	1217/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2420													
203	203	606	606	0.0	0	0	Dynamic	3/4	3	1	0					p												
203	203	606	606	0.0	0	0	Spanner	3/4	3	1	0																	
203	203	606	606	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2421													
203	203	1213/2	1213/2	0.0	1/8	1/8	Dynamic	3/4	3	1	0					f												
203	203	1213/2	1213/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2422									606				
203	203	607	607	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2423													
203	203	1215/2	1215/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	2424									607				
203	203	608	608	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2425													
203	203	1217/2	1217/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2426									608				
203	203	606	606	0.0	0	0	Dynamic	3/4	4	1	0					p												
203	203	606	606	0.0	0	0	Spanner	3/4	4	1	0																	
203	203	606	606	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2427													
203	203	1217/2	1217/2	0.0	5/8	5/8	Dynamic	3/4	4	1	0					f												
203	203	1217/2	1217/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2428													
204	204	609	609	0.0	0	0	Dynamic	3/4	1	1	0					f												
204	204	609	609	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	2429									609				
204	204	1221/2	1221/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2430									609				
204	204	611	611	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2431									609				
204	204	1223/2	1223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	2432													
204	204	609	609	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2433													
204	204	1219/2	1219/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2434									610				
204	204	610	610	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2435													
204	204	1221/2	1221/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2436									611				
204	204	611	611	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2437													
204	204	1223/2	1223/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2438													
204	204	609	609	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2439													
204	204	1219/2	1219/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2440									612				
204	204	610	610	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2441													
204	204	1221/2	1221/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	2442									613				
204	204	611	611	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2443													
204	204	1223/2	1223/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2444													
204	204	609	609	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2445													
204	204	1219/2	1219/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	2446									614				
204	204	610	610	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2447													
204	204	1221/2	1221/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	2448									615				
204	204	611	611	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2449													
204	204	1223/2	1223/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2450													
205	205	612	612	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	2451													
205	205	613	613	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2452													
205	205	614	614	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2453													
205	205	612	612	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2454													
205	205	613	613	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2455													
205	205	614	614	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2456													
205	205	612	612	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2457													
205	205	613	613	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2458													
205	205	614	614	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2459													
205	205	612	612	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2460													
205	205	613	613	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2461													
205	205	614	614	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2462													
206	206	615	615	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	2463													
206	206	616	616	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2464													
206	206	617	617	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2465													
206	206	615	615	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2466													
206	206	616	616	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2467													
206	206	617	617	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2468													
206	206	615	615	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2469													
206	206	616	616	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2470													
206	206	617	617	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2471													
206	206	615	615	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2472													
206	206	616	616	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2473													
206	206	617	617	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2474													
207	207	618	618	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	2475													
207	207	618	618	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2476													
207	207	619	619	0.0	1/4	1/4	Dynamic	3/4	2	1	0					p												
207	207	619	619	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2477													
207	207	620	620	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2478													
207	207	618	618	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2479													
207	207	619	619	0.0	1/4	1/4	Dynamic	3/4	3	1	0					p												
207	207	619	619	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2480													
207	207	620	620	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2481													
207	207	618	618	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2482													
208	208	622	622	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p												
208	208	622	622	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2483													
208	208	623	623	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2484													
208	208	621	621	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2485													
208	208	622	622	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2486													
208	208	623	623	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2487													
208	208	621	621	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2488													
208	208	622	622	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2489													
208	208	623	623	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2490													
208	208	622	622	0.0	1/4	1/4	Dynamic	3/4	4	1	0					p												
208	208	622	622	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2491													
208	208	623	623	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2492													
209	209	624	624	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2493									616				
209	209	626	626	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2494		ornamentTrill											
209	209	624	624	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2495													
209	209	1249/2	1249/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2496									617				
209	209	625	625	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2497									617				
209	209	1251/2	1251/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2498									617				
209	209	626	626	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2499													
209	209	624	624	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	2500													
209	209	626	626	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2501									618				
209	209	1253/2	1253/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2502													
209	209	624	624	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2503													
209	209	625	625	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2504													
209	209	626	626	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2505													
210	210	627	627	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	2506													
210	210	629	629	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	2507													
210	210	629	629	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	2508													
210	210	629	629	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2509		ornamentTrill											
210	210	1255/2	1255/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2510													
210	210	628	628	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2511													
210	210	1257/2	1257/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2512													
210	210	629	629	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2513													
210	210	627	627	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2514									619				
210	210	1255/2	1255/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2515													
210	210	629	629	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2516									620				
210	210	1259/2	1259/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2517													
210	210	628	628	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2518													
210	210	629	629	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2519													
211	211	630	630	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2520									621				
211	211	632	632	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2521		ornamentTrill											
211	211	1261/2	1261/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2522									622				
211	211	631	631	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2523									622				
211	211	1263/2	1263/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2524									622				
211	211	632	632	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2525													
211	211	630	630	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2526									623				
211	211	1261/2	1261/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2527													
211	211	632	632	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2528									624				
211	211	1265/2	1265/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2529													
211	211	631	631	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2530													
211	211	632	632	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2531													
212	212	633	633	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	2532													
212	212	635	635	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	2533													
212	212	635	635	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	2534													
212	212	635	635	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2535		ornamentTrill											
212	212	1267/2	1267/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2536									625				
212	212	634	634	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2537									625				
212	212	1269/2	1269/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2538									625				
212	212	635	635	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2539													
212	212	633	633	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2540									626				
212	212	1267/2	1267/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2541													
212	212	635	635	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2542									627				
212	212	1271/2	1271/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2543													
212	212	634	634	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2544													
212	212	635	635	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2545													
213	213	636	636	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	2546		articStaccatoAbove											
213	213	637	637	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2547		ornamentTrill							628				
213	213	638	638	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2548		articStaccatoAbove											
213	213	1273/2	1273/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2549									629				
213	213	637	637	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2550									629				
213	213	1275/2	1275/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2551									629				
213	213	638	638	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2552									629				
213	213	1277/2	1277/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2553									629				
213	213	636	636	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	2554									630				
213	213	1273/2	1273/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	2555													
213	213	637	637	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2556													
213	213	638	638	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2557									631				
213	213	1277/2	1277/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2558									631				
214	214	639	639	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	2559		ornamentTrill							632				
214	214	640	640	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2560		articStaccatoAbove											
214	214	641	641	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2561									633				
214	214	639	639	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2562									629				
214	214	1279/2	1279/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2563									629				
214	214	640	640	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2564									629				
214	214	1281/2	1281/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2565									629				
214	214	641	641	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2566									629				
214	214	1283/2	1283/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2567													
214	214	640	640	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	2568									634				
214	214	1281/2	1281/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	2569									634				
214	214	641	641	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	2570									634				
214	214	1283/2	1283/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	2571													
214	214	639	639	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	2572									631				
214	214	1279/2	1279/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	2573									631				
214	214	640	640	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	2574									631				
214	214	1281/2	1281/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	2575									631				
214	214	641	641	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	2576									631				
214	214	1283/2	1283/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	2577													
215	215	642	642	0.0	0	0	Spanner	3/4	1	1	0													633			52	
215	215	642	642	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2578									633			52	
215	215	644	644	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2579									633			52	
215	215	642	642	0.0	0	0	Spanner	3/4	2	1	0																53	
215	215	642	642	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2580									635			53	
215	215	1285/2	1285/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2581									635			53	
215	215	643	643	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2582									635			53	
215	215	1287/2	1287/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2583									635			53	
215	215	644	644	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2584									635			53	
215	215	1289/2	1289/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2585									635			53	
215	215	642	642	0.0	0	0	Spanner	3/4	3	1	0																54	
215	215	642	642	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	2586									636			54	
215	215	642	642	0.0	0	0	Spanner	3/4	4	1	0																55	
215	215	642	642	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	2587									637			55	
216	216	645	645	0.0	0	0	Spanner	3/4	1	1	0																	
216	216	645	645	0.0	0	0	Spanner	3/4	1	1	0															104		
216	216	645	645	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2588											104		
216	216	647	647	0.0	1/2	1/2	Spanner	3/4	1	1	0															104	56	
216	216	647	647	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2589		articStaccatoAbove							638		104	56	
216	216	645	645	0.0	0	0	Spanner	3/4	2	1	0													635				
216	216	645	645	0.0	0	0	Spanner	3/4	2	1	0													635		105		
216	216	645	645	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	2590									635		105		
216	216	1291/2	1291/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	2591									635		105		
216	216	646	646	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2592									635		105		
216	216	1293/2	1293/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2593									635		105		
216	216	647	647	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	2594									635		105		
216	216	1295/2	1295/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	2595											105		
216	216	645	645	0.0	0	0	Spanner	3/4	3	1	0																	
216	216	645	645	0.0	0	0	Spanner	3/4	3	1	0															106		
216	216	645	645	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	2596											106		
216	216	647	647	0.0	1/2	1/2	Spanner	3/4	3	1	0																	
216	216	647	647	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	2597									639				
216	216	645	645	0.0	0	0	Spanner	3/4	4	1	0																	
216	216	645	645	0.0	0	0	Spanner	3/4	4	1	0															107		
216	216	645	645	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	2598											107		
216	216	647	647	0.0	1/2	1/2	Spanner	3/4	4	1	0																	
216	216	647	647	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	2599									640				
217	217	648	648	0.0	0	0	Spanner	3/4	1	1	0													638			56	
217	217	648	648	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2600		articStaccatoAbove							638			56	
217	217	650	650	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2601		articStaccatoAbove										56	
217	217	648	648	0.0	0	0	Spanner	3/4	2	1	0																	
217	217	648	648	0.0	0	0	Spanner	3/4	2	1	0																57	
217	217	648	648	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	2602									641			57	
217	217	650	650	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	2603									641			57	
217	217	648	648	0.0	0	0	Spanner	3/4	3	1	0																58	
217	217	648	648	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	2604												58	
217	217	650	650	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	2605												58	
217	217	648	648	0.0	0	0	Spanner	3/4	4	1	0																59	
217	217	648	648	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	2606									642			59	
217	217	650	650	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	2607									642			59	
218	218	651	651	0.0	0	0	Spanner	3/4	1	1	0																	
218	218	651	651	0.0	0	0	Spanner	3/4	1	1	0															108		
218	218	651	651	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	2608											108		
218	218	653	653	0.0	1/2	1/2	StaffText	3/4	1	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
218	218	653	653	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
218	218	653	653	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2609									643				
218	218	1307/2	1307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	2610									643				
218	218	651	651	0.0	0	0	Spanner	3/4	2	1	0																	
218	218	651	651	0.0	0	0	Spanner	3/4	2	1	0															109		
218	218	651	651	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	2611											109		
218	218	653	653	0.0	1/2	1/2	StaffText	3/4	2	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
218	218	653	653	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
218	218	653	653	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	2612													
218	218	651	651	0.0	0	0	Spanner	3/4	3	1	0																	
218	218	651	651	0.0	0	0	Spanner	3/4	3	1	0															110		
218	218	651	651	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	2613											110		
218	218	653	653	0.0	1/2	1/2	StaffText	3/4	3	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
218	218	653	653	0.0	1/2	1/2	Spanner	3/4	3	1	0																	
218	218	653	653	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	2614													
218	218	651	651	0.0	0	0	Spanner	3/4	4	1	0																	
218	218	651	651	0.0	0	0	Spanner	3/4	4	1	0															111		
218	218	651	651	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	2615											111		
218	218	653	653	0.0	1/2	1/2	StaffText	3/4	4	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
218	218	653	653	0.0	1/2	1/2	Spanner	3/4	4	1	0																	
218	218	653	653	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	2616													
