quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
232	1.0	59	59	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
233	1.0	59	59	1/4	1/4	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
234	1.0	59	59	1/2	1/2	4/4	4	1		1	vi	dcml	a	VI		vi		vi							m	1	0	3, 0, 4		3	3
235	2.0	59	59	3/4	3/4	4/4	4	1		1	vi6	dcml	a	VI		vi6		vi		6					m	1	0	0, 4, 3		3	0
237	3.0	60	60	1/4	1/4	4/4	4	1		1	IV	dcml	a	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
240	4.0	61	61	0	0	4/4	4	1		1	V2	dcml	a	VI		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
244	2.0	62	62	0	0	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
246	3.0	62	62	1/2	1/2	4/4	4	1		1	V43/V	dcml	a	VI		V43/V		V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
249	1.0	63	63	1/4	1/4	4/4	4	1		1	IV6	dcml	a	VI		IV6		IV		6					M	1	0	3, 0, -1		-1	3
250	1.0	63	63	1/2	1/2	4/4	4	1		1	V6	dcml	a	VI		V6		V		6					M	1	0	5, 2, 1		1	5
251	1.0	63	63	3/4	3/4	4/4	4	1		1	V43	dcml	a	VI		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
252	1.0	64	64	0	0	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
253	1.0	64	64	1/4	1/4	4/4	4	1		1	V65/V	dcml	a	VI		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
254	1.0	64	64	1/2	1/2	4/4	4	1		1	V(6)	dcml	a	VI		V(6)		V			6				M	1	0	1, 5, 4		1	1
255	1.0	64	64	3/4	3/4	4/4	4	1		1	V65	dcml	a	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
256	1.0	65	65	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
257	1.0	65	65	1/4	1/4	4/4	4	1		1	V43/V	dcml	a	VI		V43/V		V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
258	1.0	65	65	1/2	1/2	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
259	1.0	65	65	3/4	3/4	4/4	4	1		1	V2	dcml	a	VI		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
260	1.0	66	66	0	0	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
261	1.0	66	66	1/4	1/4	4/4	4	1		1	viio6/V	dcml	a	VI		viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
262	2.0	66	66	1/2	1/2	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
264	0.75	67	67	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
1059/4	0.25	67	67	3/16	3/16	4/4	4	1		1	viio6	dcml	a	VI		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
265	1.0	67	67	1/4	1/4	4/4	4	1		1	viio43	dcml	a	VI		viio43		vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
266	0.75	67	67	1/2	1/2	4/4	4	1		1	viio7	dcml	a	VI		viio7		vii	o	7					o7	1	0	5, 2, -1, -4		5	5
1067/4	1.0	67	67	11/16	11/16	4/4	4	1		1	viio65	dcml	a	VI		viio65		vii	o	65					o7	1	0	2, -1, -4, 5		5	2
1071/4	0.25	67	67	15/16	15/16	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
268	2.0	68	68	0	0	4/4	4	1		1	viio7/V	dcml	a	VI		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
270	2.0	68	68	1/2	1/2	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
272	0.75	69	69	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
1091/4	3.0	69	69	3/16	3/16	4/4	4	1		1	viio7	dcml	a	VI		viio7		vii	o	7					o7	1	0	5, 2, -1, -4		5	5
1103/4	0.25	69	69	15/16	15/16	4/4	4	1		1	I64	dcml	a	VI		I64		I		64					M	1	0	1, 0, 4		0	1
276	2.0	70	70	0	0	4/4	4	1		1	viio65/V	dcml	a	VI		viio65/V		vii	o	65		V			o7	1	0	3, 0, -3, 6		6	3
278	2.0	70	70	1/2	1/2	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
280	2.0	71	71	0	0	4/4	4	1		1	viio7/V	dcml	a	VI		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
282	1.5	71	71	1/2	1/2	4/4	4	1		1	V(+2)	dcml	a	VI		V(+2)		V			+2				M	1	0	1, 5, 2	3	1	1
567/2	0.5	71	71	7/8	7/8	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
284	2.0	72	72	0	0	4/4	4	1		1	viio7/V	dcml	a	VI		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
286	2.0	72	72	1/2	1/2	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
288	1.0	73	73	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
289	1.0	73	73	1/4	1/4	4/4	4	1		1	IV6	dcml	a	VI		IV6		IV		6					M	1	0	3, 0, -1		-1	3
290	1.0	73	73	1/2	1/2	4/4	4	1		1	I64	dcml	a	VI		I64		I		64					M	1	0	1, 0, 4		0	1
291	2.0	73	73	3/4	3/4	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
293	3.0	74	74	1/4	1/4	4/4	4	1		1	V7/IV\\	dcml	a	VI		V7/IV		V		7		IV		\\	Mm7	1	0	0, 4, 1, -2		0	0
296	4.0	75	75	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
300	4.0	76	76	0	0	4/4	4	1		1	vii.#viio	dcml	a	vii		#viio		#vii	o						o	1	1	5, 2, -1		5	5
304	4.0	77	77	0	0	4/4	4	1		1	V2/III	dcml	a	vii		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
308	4.0	78	78	0	0	4/4	4	1		1	V	dcml	a	vii		V		V							M	1	1	1, 5, 2		1	1
312	4.0	79	79	0	0	4/4	4	1		1	V(b9)	dcml	a	vii		V(b9)		V			b9				M	1	1	1, 5, 2	-11	1	1
316	1.0	80	80	0	0	4/4	4	1		1	i64(2)	dcml	a	vii		i64(2)		i		64	2				m	1	1	1, 2, -3		0	1
317	3.0	80	80	1/4	1/4	4/4	4	1		1	i64	dcml	a	vii		i64		i		64					m	1	1	1, 0, -3		0	1
