quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
552	2.0	139	139	0	0	4/4	4	1		iv	f	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
554	2.0	139	139	1/2	1/2	4/4	4	1		#vii43	f	i	i	#vii43		#vii		43					mm7	1	1	6, 3, 5, 2		5	6
556	0.5	140	140	0	0	4/4	4	1		i(94)	f	i	i	i(94)		i			94				m	1	1	0, -1, 1	2	0	0
1113/2	2.0	140	140	1/8	1/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
1117/2	1.0	140	140	5/8	5/8	4/4	4	1		i(9#7)	f	i	i	i(9#7)		i			9#7				m	1	1	0, -3, 1	2, 5	0	0
1119/2	1.0	140	140	7/8	7/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
1121/2	1.0	141	141	1/8	1/8	4/4	4	1		i(9)	f	i	i	i(9)		i			9				m	1	1	0, -3, 1	2	0	0
1123/2	0.5	141	141	3/8	3/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
562	2.0	141	141	1/2	1/2	4/4	4	1		V6	f	i	i	V6		V		6					M	1	1	5, 2, 1		1	5
564	1.5	142	142	0	0	4/4	4	1		i(94)	f	i	i	i(94)		i			94				m	1	1	0, -1, 1	2	0	0
1131/2	1.0	142	142	3/8	3/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
1133/2	1.0	142	142	5/8	5/8	4/4	4	1		i(9#7)	f	i	i	i(9#7)		i			9#7				m	1	1	0, -3, 1	2, 5	0	0
1135/2	1.0	142	142	7/8	7/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
1137/2	1.0	143	143	1/8	1/8	4/4	4	1		i(94)	f	i	i	i(94)		i			94				m	1	1	0, -1, 1	2	0	0
1139/2	0.5	143	143	3/8	3/8	4/4	4	1		i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
570	2.0	143	143	1/2	1/2	4/4	4	1		#viio7	f	i	i	#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
572	1.0	144	144	0	0	4/4	4	1		i]	f	i	i	i		i							m	1	1	0, -3, 1		0	0
573	10.0	144	144	1/4	1/4	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
583	1.0	146	146	3/4	3/4	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
584	1.0	147	147	0	0	4/4	4	1		i64	f	i		i64		i		64					m	1	1	1, 0, -3		0	1
585	3.0	147	147	1/4	1/4	4/4	4	1		i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
588	2.0	148	148	0	0	4/4	4	1		i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
590	1.0	148	148	1/2	1/2	4/4	4	1		VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
591	1.0	148	148	3/4	3/4	4/4	4	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
592	2.0	149	149	0	0	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
594	1.0	149	149	1/2	1/2	4/4	4	1		VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
595	2.0	149	149	3/4	3/4	4/4	4	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
597	1.0	150	150	1/4	1/4	4/4	4	1		V7(2)	f	i		V7(2)		V		7	2				Mm7	1	1	-4, 5, 2, -1		1	-4
598	2.0	150	150	1/2	1/2	4/4	4	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
600	4.0	151	151	0	0	4/4	4	1		i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
