mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
83	83	1/4	1/4	3/4	1	1	I(9)			dcml	A	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
83	83	1/2	1/2	3/4	1	1	I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
84	84	0	0	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
84	84	1/2	1/2	3/4	1	1	viio			dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
85	85	0	0	3/4	1	1	III			dcml	A	I		III	III							M	0	0	4, 8, 5		4	4
85	85	1/4	1/4	3/4	1	1	IV(11)			dcml	A	I		IV(11)	IV			11				M	0	0	-1, 3, 0	5	-1	-1
85	85	1/2	1/2	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
86	86	0	0	3/4	1	1	#viio/V			dcml	A	I		#viio/V	#vii	o			V			o	0	0	13, 10, 7		13	13
86	86	1/4	1/4	3/4	1	1	V(9)			dcml	A	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1
86	86	1/2	1/2	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
87	87	0	0	3/4	1	1	viio6	-0.788353	-2.5	dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
87	87	1/4	1/4	3/4	1	1	I6(6)	0.0222053	-4.00019	dcml	A	I		I6(6)	I		6	6				M	0	0	4, 3, 0		0	4
87	87	1/2	1/2	3/4	1	1	I6	0	-4.63582	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
88	88	0	0	3/4	1	1	I	-0.247449	-3.53261	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
88	88	1/2	1/2	3/4	1	1	I6(2)	-2.13982	-4.49236	dcml	A	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
88	88	5/8	5/8	3/4	1	1	I6	0.720141	-3.59922	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
89	89	0	0	3/4	1	1	V+6/IV	-1.68933	-3.55641	dcml	A	I		V+6/IV	V	+	6		IV			+	0	0	4, 8, 0		0	4
89	89	1/4	1/4	3/4	1	1	IV	0.225244	-3.55641	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
89	89	1/2	1/2	3/4	1	1	IV6	-1.57671	-3.55641	dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
90	90	0	0	3/4	1	1	ii(112)	0	-5.38131	dcml	A	I		ii(112)	ii			112				m	0	0	4, -1, 3	1	2	4
90	90	1/4	1/4	3/4	1	1	ii	0.112622	-5.64042	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
