mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
248	248	5/8	5/8	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
249	249	0	0	4/4	1	1	V			dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
249	249	1/8	1/8	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
249	249	5/8	5/8	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
250	250	0	0	4/4	1	1	V			dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
250	250	1/4	1/4	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
250	250	5/8	5/8	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
251	251	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
254	254	3/4	3/4	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
255	255	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
258	258	3/4	3/4	4/4	1	1	V	0.409791	-5.98322	dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
259	259	0	0	4/4	1	1	I	0	-6.18812	dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
259	259	1/2	1/2	4/4	1	1	I6			dcml	Eb	I		I6	I		6				M	0	0	4, 1, 0		0	4
259	259	3/4	3/4	4/4	1	1	V			dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
260	260	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
260	260	3/4	3/4	4/4	1	1	V			dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
261	261	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
261	261	1/2	1/2	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
262	262	0	0	4/4	1	1	I\\			dcml	Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
