mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
348	348	1388	16.0	0	0	2/2	4	1	bII6	e	i		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
352	352	1404	4.0	0	0	2/2	4	1	V[V	e	i	V	V		V								M	1	1	1, 5, 2		1	1
353	353	1408	6.0	0	0	2/2	4	1	i6	e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
354	354	1414	2.0	1/2	1/2	2/2	4	1	V6	e	i		V6		V		6						M	1	1	5, 2, 1		1	5
355	355	1416	2.0	0	0	2/2	4	1	i6]	e	i		i6		i		6			]			m	1	1	-3, 1, 0		0	-3
355	355	1418	2.0	1/2	1/2	2/2	4	1	V2/bII	e	i		V2/bII		V		2		bII				Mm7	1	1	-6, -4, 0, -3		-4	-6
356	356	1420	2.0	0	0	2/2	4	1	bII6	e	i		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
356	356	1422	2.0	1/2	1/2	2/2	4	1	V2/bI	e	i		V2/bI		V		2		bI				Mm7	1	1	-8, -6, -2, -5		-6	-8
357	357	1424	2.0	0	0	2/2	4	1	bI6	e	i		bI6		bI		6						M	1	1	-3, -6, -7		-7	-3
357	357	1426	2.0	1/2	1/2	2/2	4	1	Ger6/bv	e	i		Ger6/bv	Ger	vii	o	65	b3	V/bv				Ger	1	1	-10, -6, -9, 0		0	-10
358	358	1428	2.0	0	0	2/2	4	1	bv64	e	i		bv64		bv		64						m	1	1	-5, -6, -9		-6	-5
358	358	1430	2.0	1/2	1/2	2/2	4	1	V2/V	e	i		V2/V		V		2		V				Mm7	1	1	0, 2, 6, 3		2	0
359	359	1432	2.0	0	0	2/2	4	1	V65(2)	e	i		V65(2)		V		65	2					Mm7	1	1	5, 2, -1, -4		1	5
359	359	1434	2.0	1/2	1/2	2/2	4	1	V65	e	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
360	360	1436	2.0	0	0	2/2	4	1	i(9)	e	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
360	360	1438	2.0	1/2	1/2	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
361	361	1440	4.0	0	0	2/2	4	1	VI	e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
362	362	1444	4.0	0	0	2/2	4	1	ii%65	e	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
363	363	1448	4.0	0	0	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
364	364	1452	4.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
365	365	1456	4.0	0	0	2/2	4	1	VI	e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
366	366	1460	4.0	0	0	2/2	4	1	ii%65	e	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
367	367	1464	4.0	0	0	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
368	368	1468	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
368	368	1470	6.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
370	370	1476	4.0	0	0	2/2	4	1	VI.V43	e	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
371	371	1480	4.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
372	372	1484	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
373	373	1490	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
374	374	1492	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
375	375	1498	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
376	376	1500	3.5	0	0	2/2	4	1	I[I6	e	VI	I	I6		I		6						M	1	0	4, 1, 0		0	4
376	376	3007/2	0.5	7/8	7/8	2/2	4	1	ii7	e	VI		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
377	377	1504	1.5	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
377	377	3011/2	0.5	3/8	3/8	2/2	4	1	ii7	e	VI		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
377	377	1506	1.5	1/2	1/2	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
377	377	3015/2	0.5	7/8	7/8	2/2	4	1	iii]	e	VI		iii		iii					]			m	1	0	4, 1, 5		4	4
378	378	1508	2.0	0	0	2/2	4	1	i.iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
378	378	1510	4.0	1/2	1/2	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
379	379	1514	3.0	1/2	1/2	2/2	4	1	V2(2)	e	i		V2(2)		V		2	2					Mm7	1	1	-1, -4, 5, 2		1	-1
380	380	1517	1.0	1/4	1/4	2/2	4	1	V2	e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
380	380	1518	2.0	1/2	1/2	2/2	4	1	i6	e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
381	381	1520	2.0	0	0	2/2	4	1	#viio64	e	i		#viio64		#vii	o	64						o	1	1	-1, 5, 2		5	-1
381	381	1522	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
382	382	1524	2.0	0	0	2/2	4	1	iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
382	382	1526	2.0	1/2	1/2	2/2	4	1	#viio6/iv	e	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1
383	383	1528	1.5	0	0	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
383	383	3059/2	0.5	3/8	3/8	2/2	4	1	iio6	e	i		iio6		ii	o	6						o	1	1	-1, -4, 2		2	-1
383	383	1530	2.0	1/2	1/2	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
384	384	1532	1.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
384	384	1533	1.0	1/4	1/4	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
384	384	1534	2.0	1/2	1/2	2/2	4	1	i(64)	e	i		i(64)		i			64					m	1	1	0, -1, -4		0	0
385	385	1536	6.0	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
386	386	1542	2.0	1/2	1/2	2/2	4	1	i(64)	e	i		i(64)		i			64					m	1	1	0, -1, -4		0	0
387	387	1544	7.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
388	388	3103/2	0.5	7/8	7/8	2/2	4	1	i(6+4)	e	i		i(6+4)		i			6+4					m	1	1	0, -3, -4	-1	0	0
389	389	1552	7.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
390	390	3119/2	0.5	7/8	7/8	2/2	4	1	i(6+4)	e	i		i(6+4)		i			6+4					m	1	1	0, -3, -4	-1	0	0
391	391	1560	3.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
391	391	3127/2	0.5	7/8	7/8	2/2	4	1	i(64)	e	i		i(64)		i			64					m	1	1	0, -1, -4		0	0
392	392	1564	3.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
392	392	3135/2	0.5	7/8	7/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
393	393	1568	3.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
393	393	3143/2	0.5	7/8	7/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
394	394	1572	3.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
394	394	3151/2	0.5	7/8	7/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
395	395	1576	3.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
395	395	3159/2	0.5	7/8	7/8	2/2	4	1	V7/bII	e	i		V7/bII		V		7		bII				Mm7	1	1	-4, 0, -3, -6		-4	-4
396	396	1580	3.5	0	0	2/2	4	1	bII	e	i		bII		bII								M	1	1	-5, -1, -4		-5	-5
396	396	3167/2	0.5	7/8	7/8	2/2	4	1	V7/III	e	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
397	397	1584	1.5	0	0	2/2	4	1	III	e	i		III		III								M	1	1	-3, 1, -2		-3	-3
397	397	3171/2	0.5	3/8	3/8	2/2	4	1	V7/iv	e	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
397	397	1586	1.5	1/2	1/2	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
397	397	3175/2	0.5	7/8	7/8	2/2	4	1	V7/v	e	i		V7/v		V		7		v				Mm7	1	1	2, 6, 3, 0		2	2
398	398	1588	1.5	0	0	2/2	4	1	v	e	i		v		v								m	1	1	1, -2, 2		1	1
398	398	3179/2	0.5	3/8	3/8	2/2	4	1	V7/VI	e	i		V7/VI		V		7		VI				Mm7	1	1	-3, 1, -2, -5		-3	-3
398	398	1590	1.5	1/2	1/2	2/2	4	1	VI	e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
398	398	3183/2	0.5	7/8	7/8	2/2	4	1	V7/vii	e	i		V7/vii		V		7		vii				Mm7	1	1	-1, 3, 0, -3		-1	-1
399	399	1592	1.5	0	0	2/2	4	1	vii	e	i		vii		vii								m	1	1	-2, -5, -1		-2	-2
399	399	3187/2	0.5	3/8	3/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
399	399	1594	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
399	399	3191/2	0.5	7/8	7/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
400	400	1596	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
400	400	3195/2	0.5	3/8	3/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
400	400	1598	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
400	400	3199/2	0.5	7/8	7/8	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
401	401	1600	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
401	401	3203/2	0.5	3/8	3/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
401	401	1602	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
401	401	3207/2	0.5	7/8	7/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
402	402	1604	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
402	402	3211/2	0.5	3/8	3/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
402	402	1606	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
402	402	3215/2	0.5	7/8	7/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
403	403	1608	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
403	403	3219/2	0.5	3/8	3/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
403	403	1610	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
403	403	3223/2	0.5	7/8	7/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
404	404	1612	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
404	404	3227/2	0.5	3/8	3/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
404	404	1614	1.5	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
404	404	3231/2	0.5	7/8	7/8	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
405	405	1616	2.0	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
405	405	1618	2.0	1/2	1/2	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
406	406	1620	2.0	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
406	406	1622	2.0	1/2	1/2	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
407	407	1624	4.0	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
408	408	1628	4.0	0	0	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
409	409	1632	4.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
