mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
221	221	221	221a	646	646	1.0	1/2	1/2	3/4	4	1	viio	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
222	222	222	222a	647	647	0.5	0	0	3/4	4	1	viio7/vi	Eb	I		viio7/vi		vii	o	7		vi			o7	0	0	1, -2, -5, -8		1	1
222	222	222	222a	1295/2	1295/2	1.0	1/8	1/8	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
222	222	222	222a	1297/2	1297/2	0.5	3/8	3/8	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
222	222	222	222a	649	649	0.5	1/2	1/2	3/4	4	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
222	222	222	222a	1299/2	1299/2	0.5	5/8	5/8	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
223	223	223	223a	650	650	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
223	223	223	223a	652	652	1.0	1/2	1/2	3/4	4	1	V2(4)	Eb	I		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
224	224	224	224a	653	653	1.0	0	0	3/4	4	1	V64(2)	Eb	I		V64(2)		V		64	2				M	0	0	2, 3, 5		1	2
224	224	224	224a	654	654	1.0	1/4	1/4	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
224	224	224	224a	655	655	1.0	1/2	1/2	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
225	225	225	225a	656	656	2.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
225	225	225	225a	658	658	1.0	1/2	1/2	3/4	4	1	V65(4)	Eb	I		V65(4)		V		65	4				Mm7	0	0	0, 2, -1, 1		1	0
226	226	226	226a	659	659	1.0	0	0	3/4	4	1	V6(4)	Eb	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
226	226	226	226a	660	660	1.0	1/4	1/4	3/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
226	226	226	226a	661	661	3.0	1/2	1/2	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
227	227	227	227a	664	664	1.0	1/2	1/2	3/4	4	1	V7(4)	Eb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
228	228	228	228a	665	665	1.0	0	0	3/4	4	1	V(4)	Eb	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
228	228	228	228a	666	666	1.0	1/4	1/4	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
228	228	228	228a	667	667	1.0	1/2	1/2	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
229	229	229	229a	668	668	3.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
230	230	230	230a	671	671	1.0	0	0	3/4	4	1	V43(4)	Eb	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
230	230	230	230a	672	672	2.0	1/4	1/4	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
231	231	231	231a	674	674	3.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
232	232	232	232a	677	677	3.0	0	0	3/4	4	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
233	233	233	233a	680	680	3.0	0	0	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
234	234	234	234a	683	683	1.0	0	0	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
234	234	234	234a	684	684	1.0	1/4	1/4	3/4	4	1	viio2	Eb	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
234	234	234	234a	685	685	1.0	1/2	1/2	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
235	235	235	235a	686	686	3.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
236	236	236	236a	689	689	3.0	0	0	3/4	4	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
237	237	237	237a	692	692	3.0	0	0	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
238	238	238	238a	695	695	1.0	0	0	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
238	238	238	238a	696	696	1.0	1/4	1/4	3/4	4	1	viio2	Eb	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
238	238	238	238a	697	697	5.0	1/2	1/2	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
240	240	240	240a	702	702	1.0	1/4	1/4	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
240	240	240	240a	703	703	1.0	1/2	1/2	3/4	4	1	viio65/IV	Eb	I		viio65/IV		vii	o	65		IV			o7	0	0	1, -2, -5, 4		4	1
241	241	241	241a	704	704	2.0	0	0	3/4	4	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
241	241	241	241a	706	706	1.0	1/2	1/2	3/4	4	1	ii43	Eb	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
242	242	242	242a	707	707	2.0	0	0	3/4	4	1	V43(4)/IV	Eb	I		V43(4)/IV		V		43	4	IV			Mm7	0	0	1, -2, 0, -1		0	1
242	242	242	242a	709	709	1.0	1/2	1/2	3/4	4	1	V43/IV	Eb	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
243	243	243	243a	710	710	2.0	0	0	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
243	243	243	243a	712	712	1.0	1/2	1/2	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
244	244	244	244a	713	713	3.0	0	0	3/4	4	1	V43/ii	Eb	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
245	245	245	245a	716	716	2.0	0	0	3/4	4	1	ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
245	245	245	245a	718	718	1.0	1/2	1/2	3/4	4	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
246	246	246	246a	719	719	1.0	0	0	3/4	4	1	I6(2)	Eb	I		I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
246	246	246	246a	720	720	2.0	1/4	1/4	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
247	247	247	247a	722	722	3.0	0	0	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
