mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
117	117	141	117a	421/2	349/2	0.5	1/8	1/8	3/8	4	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
117	117	141	117a	211	175	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
118	118	142	118a	423/2	351/2	1.5	0	0	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
119	119	143	119a	213	177	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
119	119	143	119a	427/2	355/2	0.5	1/8	1/8	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
119	119	143	119a	214	178	0.5	1/4	1/4	3/8	4	1	viio6(+2)/V	G	I		viio6(+2)/V	vii	o	6	+2	V			o	0	0	3, 0, 6	1	6	3
120	120	144	120a	429/2	357/2	0.5	0	0	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
120	120	144	120a	215	179	0.5	1/8	1/8	3/8	4	1	viio6/V	G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
120	120	144	120a	431/2	359/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
121	121	145	121a	216	180	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
121	121	145	121a	433/2	361/2	0.5	1/8	1/8	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
121	121	145	121a	217	181	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
122	122	146	122a	435/2	363/2	0.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
122	122	146	122a	218	182	0.5	1/8	1/8	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
122	122	146	122a	437/2	365/2	0.5	1/4	1/4	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
123	123	147	123a	219	183	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
123	123	147	123a	439/2	367/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
123	123	147	123a	220	184	0.5	1/4	1/4	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
124	124	148	124a	441/2	369/2	0.5	0	0	3/8	4	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
124	124	148	124a	221	185	1.0	1/8	1/8	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
125	125	149	125a	222	186	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
125	125	149	125a	445/2	373/2	0.5	1/8	1/8	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
125	125	149	125a	223	187	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
126	126	150	126a	447/2	375/2	0.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
126	126	150	126a	224	188	0.5	1/8	1/8	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
126	126	150	126a	449/2	377/2	0.5	1/4	1/4	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
127	127	151	127a	225	189	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
127	127	151	127a	451/2	379/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
127	127	151	127a	226	190	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
128	128	152	128a	227	191	0.5	1/8	1/8	3/8	4	1	I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
128	128	152	128a	455/2	383/2	0.5	1/4	1/4	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
